case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,q_mass,model,method
0.9111111111111111,0.9412281048083115,0.8,26.776068376068377,24.0,49.0,0.9726495726495726,0.9007215392998564,0.0,0.8,0,global
0.9162393162393162,0.9415125299521814,0.8125,34.152136752136755,26.0,76.60000000000002,0.9726495726495726,0.8970780040593744,0.0,0.8,0,pacs_qthr
0.9128205128205128,0.940580072754699,0.8069478908188586,29.4017094017094,24.0,55.0,0.9692307692307692,0.9055523956080103,0.0,0.8,0,pacs_topk
0.8888888888888888,0.930343385101217,0.7777777777777778,21.353846153846153,20.0,38.0,0.9623931623931624,0.8832824275634684,0.0,0.8,1,global
0.8905982905982905,0.9315148890476442,0.7825783972125436,25.45299145299145,23.0,48.0,0.9675213675213675,0.86597013046125,0.0,0.8,1,pacs_qthr
0.8991452991452992,0.9352881301112915,0.7936842105263159,26.237606837606837,26.0,46.0,0.9675213675213675,0.8829532138953187,0.0,0.8,1,pacs_topk
0.8974358974358975,0.9404424143858646,0.796373850868233,27.786324786324787,25.0,51.0,0.9623931623931624,0.9070028544022652,0.0,0.8,2,global
0.8940170940170941,0.9356279631785618,0.7777777777777778,27.541880341880344,23.0,52.0,0.958974358974359,0.8956343983459557,0.0,0.8,2,pacs_qthr
0.905982905982906,0.943619500775165,0.8009302325581396,29.174358974358974,29.0,44.60000000000002,0.9641025641025641,0.911239744852597,0.0,0.8,2,pacs_topk
0.9213675213675213,0.9447917579731566,0.8333333333333333,33.654700854700856,31.0,60.0,0.9675213675213675,0.9182856576029679,0.0,0.8,3,global
0.9213675213675213,0.945276211255127,0.8333333333333334,36.386324786324785,32.0,63.0,0.9692307692307692,0.9111438025887174,0.0,0.8,3,pacs_qthr
0.905982905982906,0.9397111920130163,0.8125,31.22051282051282,32.0,44.60000000000002,0.9658119658119658,0.9089881545236459,0.0,0.8,3,pacs_topk
