case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method,selected_method,selected_q
0.8854700854700854,0.9650947840707175,0.8876310272536688,50.87692307692308,45.0,98.0,0.9829059829059829,0.9449282214899157,0.0,0,0,global,global,
0.8974358974358975,0.9666653026917745,0.8947368421052632,56.8017094017094,57.0,91.60000000000002,0.9794871794871794,0.9520691383511525,0.0,0,0,pacs_cv,adaptive,0.95
0.8974358974358975,0.9658008832663156,0.8967598641233343,49.55897435897436,46.0,69.60000000000002,0.9794871794871794,0.95383887087883,0.0,0,0,safe_pacs,adaptive,0.85
0.905982905982906,0.9737208407471041,0.9,47.50940170940171,42.0,88.60000000000002,0.9880341880341881,0.9530436280760303,0.0,0,1,global,global,
0.9042735042735043,0.972367119090927,0.9,48.986324786324786,41.0,88.0,0.9897435897435898,0.9487667796026219,0.0,0,1,pacs_cv,adaptive,0.9
0.9111111111111111,0.9744106311413453,0.9224775224775226,65.52478632478632,62.0,125.60000000000002,0.9897435897435898,0.9456662506863336,0.0,0,1,safe_pacs,adaptive,0.95
0.8923076923076924,0.9649786072684678,0.8928571428571429,50.07350427350428,46.0,88.0,0.9777777777777777,0.9483248600974509,0.0,0,2,global,global,
0.8888888888888888,0.9634833866046204,0.8896969696969698,45.83589743589744,45.0,60.0,0.9726495726495726,0.9449649445748062,0.0,0,2,pacs_cv,adaptive,0.65
0.9025641025641026,0.9677787882582486,0.9,48.2017094017094,48.0,69.0,0.9794871794871794,0.9492811942547683,0.0,0,2,safe_pacs,adaptive,0.85
0.9367521367521368,0.975569765507539,0.9499999999999998,67.62222222222222,61.0,124.0,0.9863247863247864,0.9683218114233363,0.0,0,3,global,global,
0.9282051282051282,0.9740091184988432,0.9425274725274726,60.116239316239316,58.0,68.0,0.9846153846153847,0.9648182814516965,0.0,0,3,pacs_cv,adaptive,0.5
0.9299145299145299,0.9740949947385654,0.9425274725274726,59.733333333333334,59.0,69.0,0.9846153846153847,0.9652334218668368,0.0,0,3,safe_pacs,adaptive,0.65
0.8837606837606837,0.9632536175028461,0.8823529411764706,52.24957264957265,47.0,100.0,0.9777777777777777,0.9487204812494379,0.0,1,0,global,global,
0.8940170940170941,0.9642801170393948,0.887912087912088,49.256410256410255,45.0,71.60000000000002,0.9794871794871794,0.9505930565916301,0.0,1,0,pacs_cv,adaptive,0.85
0.8940170940170941,0.9642801170393948,0.887912087912088,49.256410256410255,45.0,71.60000000000002,0.9794871794871794,0.9505930565916301,0.0,1,0,safe_pacs,adaptive,0.85
