case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method,selected_q
0.8854700854700854,0.9650947840707175,0.8876310272536688,50.87692307692308,45.0,98.0,0.9829059829059829,0.9449282214899157,0.0,0,0,global,
0.5008547008547009,0.813154043799963,0.5,8.280341880341881,8.0,14.0,0.8854700854700854,0.7165271932778927,0.0,0,0,top1_cp,
0.6752136752136753,0.8861731982029891,0.6535548172757476,14.47008547008547,13.0,26.0,0.9333333333333333,0.818326231059698,0.0,0,0,mccp10,
0.8888888888888888,0.9643825231181207,0.8896969696969699,47.04102564102564,46.0,56.60000000000002,0.9794871794871794,0.9466630981320878,0.0,0,0,pacs_effcv,0.65
0.905982905982906,0.9737208407471041,0.9,47.50940170940171,42.0,88.60000000000002,0.9880341880341881,0.9530436280760303,0.0,0,1,global,
0.5264957264957265,0.816344985642592,0.49577464788732395,7.844444444444444,7.0,13.0,0.8803418803418803,0.7251190320651764,0.0,0,1,top1_cp,
0.6803418803418804,0.8941614570457993,0.6666666666666666,14.55042735042735,14.0,26.0,0.9384615384615385,0.8422442475995258,0.0,0,1,mccp10,
0.9111111111111111,0.9744106311413453,0.9224775224775226,65.52478632478632,62.0,125.60000000000002,0.9897435897435898,0.9456662506863336,0.0,0,1,pacs_effcv,0.95
0.8923076923076924,0.9649786072684678,0.8928571428571429,50.07350427350428,46.0,88.0,0.9777777777777777,0.9483248600974509,0.0,0,2,global,
0.5418803418803418,0.825913585475602,0.4857142857142858,10.31965811965812,9.0,18.0,0.8905982905982905,0.7410233897504926,0.0,0,2,top1_cp,
0.7076923076923077,0.8941449666536985,0.6666666666666666,17.31965811965812,16.0,30.0,0.9384615384615385,0.8379532819961157,0.0,0,2,mccp10,
0.8888888888888888,0.9634833866046204,0.8896969696969698,45.83589743589744,45.0,60.0,0.9726495726495726,0.9449649445748062,0.0,0,2,pacs_effcv,0.65
0.9367521367521368,0.975569765507539,0.9499999999999998,67.62222222222222,61.0,124.0,0.9863247863247864,0.9683218114233363,0.0,0,3,global,
0.5692307692307692,0.825556665845543,0.46153846153846156,10.24102564102564,10.0,18.0,0.882051282051282,0.748420584787621,0.0,0,3,top1_cp,
0.7230769230769231,0.8958469789044506,0.6666666666666666,17.782905982905984,16.0,32.0,0.9401709401709402,0.8420566277595304,0.0,0,3,mccp10,
0.9213675213675213,0.9731777314549644,0.935,56.7982905982906,59.0,70.60000000000002,0.9863247863247864,0.962572009165108,0.0,0,3,pacs_effcv,0.85
0.8837606837606837,0.9632536175028461,0.8823529411764706,52.24957264957265,47.0,100.0,0.9777777777777777,0.9487204812494379,0.0,1,0,global,
0.5333333333333333,0.8291970712249389,0.5,9.572649572649572,9.0,16.0,0.8871794871794871,0.7479971122781914,0.0,1,0,top1_cp,
0.6632478632478632,0.8834241350030042,0.6417582417582417,15.406837606837607,14.0,26.0,0.9264957264957265,0.8282466336980248,0.0,1,0,mccp10,
0.8940170940170941,0.9642801170393948,0.887912087912088,49.256410256410255,45.0,71.60000000000002,0.9794871794871794,0.9505930565916301,0.0,1,0,pacs_effcv,0.85
0.8923076923076924,0.9708366670680456,0.8888888888888888,47.406837606837605,42.0,88.0,0.9897435897435898,0.940708491296592,0.0,1,1,global,
0.5264957264957265,0.8261096639870606,0.5,8.317948717948719,8.0,14.0,0.8940170940170941,0.7261015850363949,0.0,1,1,top1_cp,
0.705982905982906,0.9017156437960878,0.6953846153846154,15.126495726495726,14.0,26.600000000000023,0.9401709401709402,0.8480624998670321,0.0,1,1,mccp10,
0.8991452991452992,0.9730416241745206,0.8993258426966292,50.131623931623935,45.0,82.0,0.9914529914529915,0.9429461191552685,0.0,1,1,pacs_effcv,0.9
0.9128205128205128,0.9706498578582162,0.9380102040816326,63.31111111111111,60.0,112.60000000000002,0.9794871794871794,0.9590503167158526,0.0,1,2,global,
0.5487179487179488,0.8180480808414856,0.43262711864406783,8.788034188034189,8.0,14.600000000000023,0.864957264957265,0.735688774552398,0.0,1,2,top1_cp,
0.7128205128205128,0.8912793803762266,0.6666666666666666,17.646153846153847,17.0,30.0,0.9179487179487179,0.8497842099855392,0.0,1,2,mccp10,
0.9145299145299145,0.9729337353840682,0.9333333333333333,57.88205128205128,60.0,74.0,0.9829059829059829,0.960046755569429,0.0,1,2,pacs_effcv,0.85
0.9042735042735043,0.9738510998569786,0.9036363636363637,60.19145299145299,55.0,107.0,0.9880341880341881,0.9524466388410653,0.0,1,3,global,
0.5931623931623932,0.8619745592087494,0.6051612903225808,12.1008547008547,12.0,21.0,0.9162393162393162,0.7765725088917931,0.0,1,3,top1_cp,
0.717948717948718,0.9090116374264269,0.7335064935064937,19.487179487179485,18.0,33.0,0.947008547008547,0.8535216238170797,0.0,1,3,mccp10,
0.9128205128205128,0.976628848013233,0.9321246169560777,66.22051282051282,64.0,99.60000000000002,0.9897435897435898,0.9549659150699036,0.0,1,3,pacs_effcv,0.95
0.905982905982906,0.9705023416863549,0.9073863636363637,51.75726495726496,46.0,92.80000000000007,0.9777777777777777,0.9491116651251449,0.0,2,0,global,
0.5367521367521367,0.8344400286672231,0.5107990314769976,8.733333333333333,8.0,15.0,0.9025641025641026,0.7293086501658596,0.0,2,0,top1_cp,
0.6581196581196581,0.8845990135122856,0.6510924369747899,12.96068376068376,12.0,22.0,0.9282051282051282,0.8118300469335427,0.0,2,0,mccp10,
0.882051282051282,0.9632180376516939,0.8779411764705882,42.827350427350424,40.0,53.0,0.9726495726495726,0.941136166935342,0.0,2,0,pacs_effcv,0.75
0.905982905982906,0.9680361463493153,0.9,46.411965811965814,41.0,86.60000000000002,0.9829059829059829,0.9498533373784512,0.0,2,1,global,
0.5658119658119658,0.8367307939557952,0.5384615384615385,8.627350427350427,8.0,14.0,0.9008547008547009,0.7582739123001888,0.0,2,1,top1_cp,
0.7076923076923077,0.9036391522032245,0.7142857142857142,15.635897435897435,14.0,27.0,0.9452991452991453,0.8554587662395,0.0,2,1,mccp10,
0.8888888888888888,0.9651895821533776,0.8888888888888888,45.05128205128205,42.0,61.0,0.9794871794871794,0.948321749517678,0.0,2,1,pacs_effcv,0.75
0.8974358974358975,0.9688213830575992,0.8963926670609108,51.28034188034188,48.0,90.0,0.9829059829059829,0.954449845470802,0.0,2,2,global,
0.5555555555555556,0.8310771213476155,0.5,11.172649572649572,11.0,19.0,0.8854700854700854,0.7675498152958383,0.0,2,2,top1_cp,
0.7128205128205128,0.9066402254050085,0.7142857142857143,18.88888888888889,18.0,33.0,0.9418803418803419,0.8622071581325533,0.0,2,2,mccp10,
0.8803418803418803,0.9665758128625522,0.8876310272536687,48.873504273504274,47.0,59.0,0.9811965811965812,0.9511342113853146,0.0,2,2,pacs_effcv,0.65
0.9128205128205128,0.9717312837713649,0.9220779220779222,62.15042735042735,55.0,116.0,0.9811965811965812,0.9575771842123914,0.0,2,3,global,
0.6188034188034188,0.8549697077926534,0.535265700483092,13.097435897435897,12.0,23.0,0.9162393162393162,0.7834228549754001,0.0,2,3,top1_cp,
0.7025641025641025,0.890370450960273,0.6521739130434783,18.9008547008547,18.0,33.0,0.9367521367521368,0.8373260752225024,0.0,2,3,mccp10,
0.8888888888888888,0.9619712231627472,0.88,51.656410256410254,48.0,63.0,0.9726495726495726,0.9484477818040005,0.0,2,3,pacs_effcv,0.65
