method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,minority,runs
global,0.9058404558404559,0.01817410236003568,54.1477207977208,7.457292454865527,100.74166666666667,0.9716989734187722,0.9526548085197853,24
mccp10,0.7242877492877492,0.022803361789862454,17.63974358974359,2.4256174955235896,31.14166666666667,0.9060277526311324,0.8548582640773313,24
pacs_gated,0.9086894586894587,0.013571856409046642,56.988247863247864,5.434675880697777,88.59166666666668,0.971929333906274,0.9553977687837792,24
top1_cp,0.5787749287749288,0.053248359320792076,10.455698005698006,2.2665862853967864,17.808333333333337,0.8425016450656883,0.7625110505366628,24
