success,mean_size,p90_size,mean_mass,method,rep,ntrain,ncal,ntest
0.9137254901960784,12.909803921568628,16.0,0.9257525676937441,global_panel,7,306,249,255
0.9176470588235294,12.27843137254902,13.0,0.9084500466853409,pacs_mondrian_q0.90,7,306,249,255
0.8547717842323651,9.439834024896266,12.0,0.8643914246196405,top1_cp,8,323,246,241
0.9045643153526971,11.58091286307054,14.0,0.9099673977474807,mccp10,8,323,246,241
0.9294605809128631,12.257261410788383,16.0,0.9289043667259435,global_panel,8,323,246,241
0.9336099585062241,12.149377593360995,13.0,0.925050385299348,pacs_mondrian_q0.90,8,323,246,241
0.9022222222222223,10.24,13.0,0.8915767195767196,top1_cp,9,336,249,225
0.9511111111111111,12.937777777777777,16.0,0.9457746031746032,mccp10,9,336,249,225
0.9511111111111111,12.995555555555555,16.0,0.9459968253968254,global_panel,9,336,249,225
0.9288888888888889,11.751111111111111,12.0,0.9189703703703703,pacs_mondrian_q0.90,9,336,249,225
0.7777777777777778,9.277777777777779,12.0,0.8224300831443688,top1_cp,10,328,230,252
0.8650793650793651,11.261904761904763,14.0,0.8736819727891156,mccp10,10,328,230,252
0.8650793650793651,11.214285714285714,14.0,0.8729544595616024,global_panel,10,328,230,252
0.8650793650793651,11.103174603174603,12.0,0.8682029478458049,pacs_mondrian_q0.90,10,328,230,252
0.851145038167939,9.927480916030534,12.900000000000006,0.8693202471828426,top1_cp,11,301,247,262
0.9083969465648855,11.958015267175572,14.0,0.907314612868048,mccp10,11,301,247,262
0.9465648854961832,13.740458015267176,16.0,0.9500736095965103,global_panel,11,301,247,262
0.9580152671755725,13.01526717557252,14.0,0.9433015267175572,pacs_mondrian_q0.90,11,301,247,262
0.8095238095238095,9.047619047619047,12.0,0.8327891156462586,top1_cp,12,315,243,252
0.876984126984127,11.436507936507937,14.0,0.8817724867724867,mccp10,12,315,243,252
0.8611111111111112,10.88888888888889,13.0,0.8749452003023431,global_panel,12,315,243,252
0.9206349206349206,11.912698412698413,13.0,0.910431783824641,pacs_mondrian_q0.90,12,315,243,252
0.8582995951417004,10.68825910931174,13.0,0.8806130711393868,top1_cp,13,302,261,247
0.8947368421052632,12.331983805668017,16.0,0.9084094852515906,mccp10,13,302,261,247
0.9190283400809717,13.279352226720647,16.0,0.9296722575669943,global_panel,13,302,261,247
0.9230769230769231,12.740890688259109,14.0,0.9257412762675922,pacs_mondrian_q0.90,13,302,261,247
0.8781512605042017,9.995798319327731,12.0,0.8813855542216887,top1_cp,14,321,251,238
0.9033613445378151,11.878151260504202,14.0,0.9028331332533014,mccp10,14,321,251,238
0.907563025210084,12.302521008403362,16.0,0.9121608643457383,global_panel,14,321,251,238
0.9201680672268907,12.205882352941176,14.0,0.9169087635054022,pacs_mondrian_q0.90,14,321,251,238
0.8641975308641975,12.238683127572017,14.0,0.8840672153635116,top1_cp,15,310,257,243
0.8724279835390947,12.781893004115226,16.0,0.8979031941994906,mccp10,15,310,257,243
0.8847736625514403,13.197530864197532,16.0,0.9079796198314717,global_panel,15,310,257,243
0.9629629629629629,13.189300411522634,14.0,0.9495620223398001,pacs_mondrian_q0.90,15,310,257,243
0.8296943231441049,9.541484716157205,12.0,0.8505271366188397,top1_cp,16,343,238,229
0.9213973799126638,12.703056768558952,16.0,0.9225036390101892,mccp10,16,343,238,229
0.8908296943231441,12.034934497816593,14.0,0.8972197962154296,global_panel,16,343,238,229
0.9126637554585153,12.550218340611353,13.0,0.9132605531295487,pacs_mondrian_q0.90,16,343,238,229
0.8348214285714286,9.53125,12.0,0.8513233418367346,top1_cp,17,330,256,224
0.8883928571428571,11.941964285714286,14.0,0.898720238095238,mccp10,17,330,256,224
0.9375,13.383928571428571,16.0,0.9473788265306123,global_panel,17,330,256,224
0.9375,12.669642857142858,13.0,0.9278858418367347,pacs_mondrian_q0.90,17,330,256,224
0.9117647058823529,12.785714285714286,16.0,0.9132513005202081,top1_cp,18,308,264,238
0.9117647058823529,12.634453781512605,16.0,0.9119907963185274,mccp10,18,308,264,238
0.9327731092436975,13.470588235294118,16.0,0.9367466986794719,global_panel,18,308,264,238
0.9327731092436975,13.134453781512605,14.0,0.9333213285314126,pacs_mondrian_q0.90,18,308,264,238
0.8306451612903226,10.241935483870968,13.0,0.8570583717357911,top1_cp,19,322,240,248
0.8790322580645161,11.85483870967742,14.0,0.8922628648233487,mccp10,19,322,240,248
0.8790322580645161,11.96774193548387,14.0,0.894574692780338,global_panel,19,322,240,248
0.907258064516129,12.415322580645162,13.0,0.9103072196620583,pacs_mondrian_q0.90,19,322,240,248
0.8478260869565217,10.434782608695652,13.0,0.8620455486542443,top1_cp,20,338,242,230
0.908695652173913,11.934782608695652,14.0,0.8992836438923395,mccp10,20,338,242,230
0.9130434782608695,12.173913043478262,16.0,0.9067784679089028,global_panel,20,338,242,230
