success,mean_size,full_set_rate,oracle_mean_size,excess_size,clear_full_rate,clear_success,ambiguous_full_rate,ambiguous_success,n_clear,n_ambiguous,mean_mass,endpoint,rep,method,ntrain,ncal,ntest,selected_q
0.8297872340425532,1.4595744680851064,0.4595744680851064,1.2425531914893617,0.2170212765957447,0.43820224719101125,0.9269662921348315,0.5263157894736842,0.5263157894736842,178,57,0.8680851063829788,Atelectasis,0,top1_cp,311,257,235,
0.8340425531914893,1.4680851063829787,0.46808510638297873,1.2425531914893617,0.225531914893617,0.4438202247191011,0.9269662921348315,0.543859649122807,0.543859649122807,178,57,0.8706382978723404,Atelectasis,0,mccp10,311,257,235,
0.8893617021276595,1.6170212765957446,0.6170212765957447,1.2425531914893617,0.37446808510638296,0.5786516853932584,0.9382022471910112,0.7368421052631579,0.7368421052631579,178,57,0.9063829787234042,Atelectasis,0,global_panel,311,257,235,
1.0,2.0,1.0,1.2425531914893617,0.7574468085106383,1.0,1.0,1.0,1.0,178,57,1.0,Atelectasis,0,pacs_cv,311,257,235,0.5
0.8174603174603174,1.3412698412698412,0.3412698412698413,1.3293650793650793,0.011904761904761904,0.23668639053254437,0.9467455621301775,0.5542168674698795,0.5542168674698795,169,83,0.8658730158730158,Consolidation,0,top1_cp,296,255,252,
0.8492063492063492,1.4246031746031746,0.4246031746031746,1.3293650793650793,0.09523809523809523,0.31952662721893493,0.9526627218934911,0.6385542168674698,0.6385542168674698,169,83,0.8888888888888888,Consolidation,0,mccp10,296,255,252,
0.8611111111111112,1.4563492063492063,0.45634920634920634,1.3293650793650793,0.12698412698412698,0.34911242603550297,0.9526627218934911,0.6746987951807228,0.6746987951807228,169,83,0.8960317460317461,Consolidation,0,global_panel,296,255,252,
1.0,2.0,1.0,1.3293650793650793,0.6706349206349206,1.0,1.0,1.0,1.0,169,83,1.0,Consolidation,0,pacs_cv,296,255,252,0.5
0.832,0.968,0.0,1.136,-0.168,0.0,0.9629629629629629,0.0,0.0,216,34,0.8664000000000001,Pleural Thickening,0,top1_cp,317,236,250,
0.88,1.076,0.076,1.136,-0.06,0.05555555555555555,0.9861111111111112,0.20588235294117646,0.20588235294117646,216,34,0.9087999999999999,Pleural Thickening,0,mccp10,317,236,250,
0.896,1.144,0.144,1.136,0.008,0.12037037037037036,0.9907407407407407,0.29411764705882354,0.29411764705882354,216,34,0.9232,Pleural Thickening,0,global_panel,317,236,250,
1.0,2.0,1.0,1.136,0.864,1.0,1.0,1.0,1.0,216,34,1.0,Pleural Thickening,0,pacs_cv,317,236,250,0.5
0.8470588235294118,1.2588235294117647,0.25882352941176473,1.1098039215686275,0.14901960784313725,0.23788546255506607,0.8986784140969163,0.42857142857142855,0.42857142857142855,227,28,0.8596078431372549,Nodule,0,top1_cp,316,232,255,
0.8588235294117647,1.3372549019607842,0.33725490196078434,1.1098039215686275,0.22745098039215686,0.32158590308370044,0.9074889867841409,0.4642857142857143,0.4642857142857143,227,28,0.8705882352941177,Nodule,0,mccp10,316,232,255,
0.8823529411764706,1.4431372549019608,0.44313725490196076,1.1098039215686275,0.3333333333333333,0.43171806167400884,0.9251101321585903,0.5357142857142857,0.5357142857142857,227,28,0.8941176470588236,Nodule,0,global_panel,316,232,255,
1.0,2.0,1.0,1.1098039215686275,0.8901960784313725,1.0,1.0,1.0,1.0,227,28,1.0,Nodule,0,pacs_cv,316,232,255,0.5
0.8828125,1.46484375,0.46484375,1.1328125,0.33203125,0.4369369369369369,0.918918918918919,0.6470588235294118,0.6470588235294118,222,34,0.91171875,Effusion,0,top1_cp,288,259,256,
0.8828125,1.46875,0.46875,1.1328125,0.3359375,0.44144144144144143,0.918918918918919,0.6470588235294118,0.6470588235294118,222,34,0.91171875,Effusion,0,mccp10,288,259,256,
0.91796875,1.5859375,0.5859375,1.1328125,0.453125,0.5585585585585585,0.9414414414414415,0.7647058823529411,0.7647058823529411,222,34,0.9390625,Effusion,0,global_panel,288,259,256,
1.0,2.0,1.0,1.1328125,0.8671875,1.0,1.0,1.0,1.0,222,34,1.0,Effusion,0,pacs_cv,288,259,256,0.5
0.7615384615384615,0.9346153846153846,0.0,1.1,-0.16538461538461538,0.0,0.8461538461538461,0.0,0.0,234,26,0.7938461538461538,Cardiomegaly,0,top1_cp,307,236,260,
0.8269230769230769,1.0653846153846154,0.06538461538461539,1.1,-0.03461538461538462,0.06837606837606838,0.9145299145299145,0.038461538461538464,0.038461538461538464,234,26,0.8592307692307691,Cardiomegaly,0,mccp10,307,236,260,
0.8153846153846154,1.0384615384615385,0.038461538461538464,1.1,-0.06153846153846154,0.038461538461538464,0.9017094017094017,0.038461538461538464,0.038461538461538464,234,26,0.8484615384615385,Cardiomegaly,0,global_panel,307,236,260,
1.0,2.0,1.0,1.1,0.9,1.0,1.0,1.0,1.0,234,26,1.0,Cardiomegaly,0,pacs_cv,307,236,260,0.5
