success,mean_size,p90_size,mean_mass,method,rep,ntrain,ncal,ntest
0.5690376569037657,9.230125523012552,11.200000000000017,0.8477126917712692,top1_cp,0,315,256,239
0.7112970711297071,11.401673640167363,14.0,0.9064514843594341,mccp10,0,315,256,239
0.9288702928870293,14.728033472803347,16.0,0.9717523411038055,global_panel,0,315,256,239
0.9707112970711297,14.97071129707113,16.0,0.9892388922096035,pacs_mondrian_q0.90,0,315,256,239
0.6428571428571429,10.736607142857142,13.0,0.8605782312925171,top1_cp,1,337,249,224
0.7633928571428571,12.535714285714286,16.0,0.907904974489796,mccp10,1,337,249,224
0.9017857142857143,14.638392857142858,16.0,0.9637563775510205,global_panel,1,337,249,224
0.9598214285714286,15.075892857142858,16.0,0.9842857142857143,pacs_mondrian_q0.90,1,337,249,224
0.6150627615062761,9.154811715481172,12.0,0.8545776051006176,top1_cp,2,328,243,239
0.7656903765690377,11.94979079497908,14.0,0.9191322972703725,mccp10,2,328,243,239
0.8870292887029289,14.267782426778243,16.0,0.9611576011157601,global_panel,2,328,243,239
0.9497907949790795,14.690376569037657,16.0,0.9786052998605299,pacs_mondrian_q0.90,2,328,243,239
0.7593360995850622,12.95850622406639,16.0,0.9178976486860305,top1_cp,3,312,257,241
0.7344398340248963,12.207468879668049,14.0,0.9044526773364948,mccp10,3,312,257,241
0.9045643153526971,14.630705394190871,16.0,0.9613554633471646,global_panel,3,312,257,241
0.979253112033195,14.838174273858922,15.0,0.9891068958703814,pacs_mondrian_q0.90,3,312,257,241
0.7290836653386454,11.741035856573705,14.0,0.9013194839688864,top1_cp,4,316,243,251
0.7768924302788844,12.458167330677291,16.0,0.9152532726237906,mccp10,4,316,243,251
0.9083665338645418,14.48605577689243,16.0,0.9643037374312275,global_panel,4,316,243,251
0.9641434262948207,15.278884462151394,16.0,0.986637260481882,pacs_mondrian_q0.90,4,316,243,251
0.7387387387387387,11.153153153153154,13.900000000000006,0.8987076362076364,top1_cp,5,334,254,222
