success,mean_size,p90_size,mean_mass,method,rep,ntrain,ncal,ntest
0.6623931623931624,10.722222222222221,13.0,0.8791005291005292,top1_cp,0,321,248,234
0.7264957264957265,11.901709401709402,14.0,0.9032030932030932,mccp10,0,321,248,234
0.905982905982906,14.52991452991453,16.0,0.9642857142857144,global_panel,0,321,248,234
0.9529914529914529,14.777777777777779,16.0,0.9866452991452992,pacs_mondrian_q0.65,0,321,248,234
0.9358974358974359,14.239316239316238,15.0,0.9772293447293448,pacs_mondrian_q0.75,0,321,248,234
0.9615384615384616,14.752136752136753,16.0,0.988034188034188,pacs_mondrian_q0.85,0,321,248,234
0.6271929824561403,10.464912280701755,13.0,0.8608876357560568,top1_cp,1,333,242,228
0.7543859649122807,12.741228070175438,16.0,0.910795739348371,mccp10,1,333,242,228
0.8859649122807017,14.337719298245615,16.0,0.9642543859649124,global_panel,1,333,242,228
0.956140350877193,15.18421052631579,16.0,0.9856725146198831,pacs_mondrian_q0.65,1,333,242,228
0.9298245614035088,15.00438596491228,15.300000000000011,0.9760359231411864,pacs_mondrian_q0.75,1,333,242,228
0.956140350877193,15.109649122807017,16.0,0.9858187134502926,pacs_mondrian_q0.85,1,333,242,228
0.6983471074380165,10.78099173553719,13.0,0.882534435261708,top1_cp,2,322,239,242
0.743801652892562,11.991735537190083,14.0,0.8953168044077136,mccp10,2,322,239,242
0.8636363636363636,13.950413223140496,16.0,0.936900826446281,global_panel,2,322,239,242
0.9545454545454546,14.851239669421487,16.0,0.9854063360881543,pacs_mondrian_q0.65,2,322,239,242
0.9421487603305785,14.814049586776859,16.0,0.983409090909091,pacs_mondrian_q0.75,2,322,239,242
0.9545454545454546,15.082644628099173,16.0,0.9868526170798898,pacs_mondrian_q0.85,2,322,239,242
0.563265306122449,9.29795918367347,11.599999999999994,0.8438124392614188,top1_cp,3,303,255,245
0.7142857142857143,12.138775510204082,14.0,0.8999096209912537,mccp10,3,303,255,245
0.9224489795918367,14.714285714285714,16.0,0.9690748299319728,global_panel,3,303,255,245
0.9469387755102041,14.987755102040817,16.0,0.9819863945578232,pacs_mondrian_q0.65,3,303,255,245
0.9469387755102041,15.089795918367347,16.0,0.9834829931972789,pacs_mondrian_q0.75,3,303,255,245
0.9551020408163265,15.004081632653062,16.0,0.9833605442176871,pacs_mondrian_q0.85,3,303,255,245
0.5,8.851239669421487,11.0,0.8192197953561591,top1_cp,4,332,229,242
0.6942148760330579,12.037190082644628,14.0,0.8916155057064149,mccp10,4,332,229,242
0.871900826446281,14.21900826446281,16.0,0.9582723337268793,global_panel,4,332,229,242
0.9297520661157025,14.917355371900827,16.0,0.9792040535222355,pacs_mondrian_q0.65,4,332,229,242
0.9297520661157025,14.851239669421487,16.0,0.9791489571035026,pacs_mondrian_q0.75,4,332,229,242
0.9256198347107438,14.553719008264462,16.0,0.9753197560015742,pacs_mondrian_q0.85,4,332,229,242
0.7535545023696683,12.127962085308058,16.0,0.9014691943127964,top1_cp,5,330,262,211
0.8009478672985783,12.677725118483412,16.0,0.9184044233807268,mccp10,5,330,262,211
0.9478672985781991,14.649289099526067,16.0,0.9760979462875197,global_panel,5,330,262,211
0.990521327014218,14.957345971563981,16.0,0.9926224328593997,pacs_mondrian_q0.65,5,330,262,211
0.985781990521327,15.454976303317535,16.0,0.9910742496050553,pacs_mondrian_q0.75,5,330,262,211
0.9715639810426541,14.924170616113743,16.0,0.9861927330173774,pacs_mondrian_q0.85,5,330,262,211
0.689922480620155,10.569767441860465,13.0,0.8828986710963456,top1_cp,6,314,231,258
0.7286821705426356,11.251937984496124,13.300000000000011,0.8939857881136951,mccp10,6,314,231,258
0.9147286821705426,14.62015503875969,16.0,0.9723246585455888,global_panel,6,314,231,258
0.9612403100775194,14.786821705426357,16.0,0.9854863418235512,pacs_mondrian_q0.65,6,314,231,258
0.9612403100775194,14.751937984496124,15.0,0.9853386858619416,pacs_mondrian_q0.75,6,314,231,258
