method,success,success_sd,mean_size,mean_size_sd,p90_size,p95_size,mean_mass,minority,runs
global_panel,0.8990499999999999,0.007525609299029357,1.0882,0.011863946070944025,1.15,2.0,0.8892320774148607,0.008453684305774164,20
mccp10,0.9084999999999999,0.006953899995412546,1.1247833333333335,0.016807918977401023,1.95,2.0,0.8980918367227397,0.009296963885241007,20
pacs_mondrian,0.9708833333333333,0.002966232966524402,1.7784833333333332,0.07269904919863777,3.05,3.8049999999999726,0.9570567755834102,0.019796614933951077,20
top1_cp,0.88185,0.007547490966078798,1.035,0.009842027081654665,1.0,1.2,0.8728777195472496,0.007195253711042457,20
