success,mean_size,median_size,p90_size,mean_mass,minority,support,method,rep,q,ntrain,ncal,ntest,selected_q
0.851145038167939,8.748091603053435,9.0,13.0,0.8906424936386769,0.376087786259542,4.66412213740458,top1_cp,0,0.8,315,226,262,
0.9083969465648855,10.16030534351145,11.0,15.0,0.9262995274445657,0.4011595783351508,4.66412213740458,mccp10,0,0.8,315,226,262,
0.9618320610687023,12.732824427480915,14.0,16.0,0.9680261723009814,0.43277171937477277,4.66412213740458,global_panel,0,0.8,315,226,262,
0.9580152671755725,12.790076335877863,13.0,15.0,0.9668229734641949,0.4272809887313704,4.66412213740458,pacs_cv,0,0.8,315,226,262,0.5
0.6837606837606838,7.465811965811966,8.0,12.0,0.7876607651607653,0.34872303622303624,5.055555555555555,top1_cp,1,0.8,329,240,234,
0.7905982905982906,8.91025641025641,10.0,13.0,0.8471733821733822,0.38772283272283276,5.055555555555555,mccp10,1,0.8,329,240,234,
0.8247863247863247,10.252136752136753,12.0,14.0,0.8775966625966626,0.40914326414326413,5.055555555555555,global_panel,1,0.8,329,240,234,
0.8846153846153846,12.196581196581196,12.0,14.0,0.9350579975579977,0.43975172975172977,5.055555555555555,pacs_cv,1,0.8,329,240,234,0.5
0.8699186991869918,9.715447154471544,11.0,13.5,0.9134001161440186,0.4007404181184669,4.817073170731708,top1_cp,2,0.8,324,233,246,
0.8943089430894309,10.341463414634147,11.0,14.0,0.9306833139759969,0.4105710414247,4.817073170731708,mccp10,2,0.8,324,233,246,
0.9512195121951219,11.585365853658537,13.0,15.0,0.959804490902052,0.4324487030584591,4.817073170731708,global_panel,2,0.8,324,233,246,
0.9471544715447154,12.044715447154472,12.0,14.0,0.9600706542779713,0.4347473867595819,4.817073170731708,pacs_cv,2,0.8,324,233,246,0.75
0.7714285714285715,8.673469387755102,10.0,13.0,0.8559241982507287,0.39574344023323615,5.081632653061225,top1_cp,3,0.8,311,247,245,
0.8571428571428571,10.253061224489796,12.0,15.0,0.9052244897959184,0.42623323615160347,5.081632653061225,mccp10,3,0.8,311,247,245,
0.9020408163265307,11.23265306122449,13.0,16.0,0.9369795918367347,0.44560738581146747,5.081632653061225,global_panel,3,0.8,311,247,245,
0.926530612244898,12.008163265306122,13.0,13.0,0.9530068027210884,0.4629407191448008,5.081632653061225,pacs_cv,3,0.8,311,247,245,0.5
0.7983870967741935,8.403225806451612,9.0,13.0,0.8594374039938556,0.3727889784946237,4.854838709677419,top1_cp,4,0.8,331,224,248,
0.8790322580645161,9.903225806451612,11.0,14.0,0.8999510368663594,0.39902841781874043,4.854838709677419,mccp10,4,0.8,331,224,248,
0.9153225806451613,10.939516129032258,12.0,15.0,0.9321553379416282,0.416165514592934,4.854838709677419,global_panel,4,0.8,331,224,248,
0.9516129032258065,12.568548387096774,13.0,14.0,0.9662039170506913,0.4427467357910906,4.854838709677419,pacs_cv,4,0.8,331,224,248,0.5
