case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,q_mass,model,method
0.9025641025641026,0.827314730694235,0.5,7.6461538461538465,7.0,13.0,0.8905982905982905,0.7463075327755286,0.0,0.5,0,global
0.905982905982906,0.8196078598189197,0.5,8.215384615384615,8.0,14.0,0.905982905982906,0.672831754002242,0.0,0.5,0,pacs_qthr
0.905982905982906,0.8249349147830365,0.5,8.577777777777778,9.0,12.0,0.8940170940170941,0.7280066087282553,0.0,0.5,0,pacs_topk
0.8974358974358975,0.832143358545298,0.48861167002012074,7.774358974358974,8.0,13.0,0.8940170940170941,0.7376261761331623,0.0,0.5,1,global
0.8923076923076924,0.8168288981126742,0.4740410347903657,8.801709401709402,8.0,17.0,0.9025641025641026,0.6676446195631414,0.0,0.5,1,pacs_qthr
0.9111111111111111,0.8511083219269352,0.5494949494949496,9.852991452991454,9.0,18.0,0.9145299145299145,0.7651468927986693,0.0,0.5,1,pacs_topk
0.9025641025641026,0.8312764595457315,0.5,11.177777777777777,10.0,19.0,0.882051282051282,0.7684420591807095,0.0,0.5,2,global
0.9094017094017094,0.8301707452180423,0.5,11.755555555555556,11.0,21.0,0.8888888888888888,0.7471773496758944,0.0,0.5,2,pacs_qthr
0.9094017094017094,0.8334376109006367,0.5,11.4,12.0,17.0,0.882051282051282,0.7735479409604045,0.0,0.5,2,pacs_topk
0.8888888888888888,0.8251458242121416,0.4386473429951691,10.726495726495726,10.0,19.0,0.8752136752136752,0.749561643743038,0.0,0.5,3,global
0.905982905982906,0.8310784680590578,0.5,13.16068376068376,12.0,24.0,0.8923076923076924,0.7239432528166381,0.0,0.5,3,pacs_qthr
0.9076923076923077,0.8451367451984793,0.5,12.844444444444445,13.0,19.0,0.8905982905982905,0.7843043449267134,0.0,0.5,3,pacs_topk
