case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,q_mass,model,method
0.9230769230769231,0.9794936693284974,0.9230769230769231,59.78290598290598,54.0,115.20000000000005,0.9914529914529915,0.9615993994486887,0.0,0.9,0,global
0.9213675213675213,0.9786276979962809,0.9218623481781377,58.18632478632479,58.0,81.0,0.9897435897435898,0.9638654702267477,0.0,0.9,0,topk_v2
0.9196581196581196,0.9788477074882098,0.9218623481781377,66.63589743589743,61.0,110.60000000000002,0.9897435897435898,0.9625209378953841,0.0,0.9,0,norm_topk_v3
0.8717948717948718,0.9597884791577902,0.875,40.2991452991453,36.0,77.0,0.9829059829059829,0.9327191594692393,0.0,0.9,1,global
0.864957264957265,0.9599256891517859,0.8597402597402599,48.88547008547008,47.0,86.60000000000002,0.9829059829059829,0.9285614608608704,0.0,0.9,1,topk_v2
0.8735042735042735,0.9605407022029013,0.875,46.442735042735045,37.0,89.60000000000002,0.9794871794871794,0.9352332431183911,0.0,0.9,1,norm_topk_v3
0.9316239316239316,0.9777806158987116,0.9516129032258065,68.46153846153847,64.0,128.0,0.9880341880341881,0.9668836436839287,0.0,0.9,2,global
0.9213675213675213,0.9741053029108135,0.9389705882352941,62.14358974358974,59.0,94.0,0.9863247863247864,0.9644675806899162,0.0,0.9,2,topk_v2
0.9145299145299145,0.9730399629938328,0.9245778611632272,69.23247863247863,54.0,134.0,0.9880341880341881,0.9561966513760064,0.0,0.9,2,norm_topk_v3
0.9094017094017094,0.9719468933152854,0.9220779220779222,55.9025641025641,51.0,101.0,0.9811965811965812,0.9559963875954645,0.0,0.9,3,global
0.9025641025641026,0.9701856492220401,0.9036363636363637,53.18803418803419,55.0,77.0,0.9794871794871794,0.9579874786242792,0.0,0.9,3,topk_v2
0.9094017094017094,0.9731889450902176,0.9285714285714285,69.20683760683761,62.0,129.0,0.9829059829059829,0.9582284993837104,0.0,0.9,3,norm_topk_v3
