method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,minority,runs
global,0.9052991452991452,0.018322060210406495,53.41555555555556,7.003680961087691,98.52000000000001,0.9702104219185033,0.9522240215109404,20
mccp10,0.7,0.033412250721776116,16.497179487179487,2.0281128372939055,28.880000000000003,0.8964922325569968,0.8419021015001761,20
pacs_effcv,0.9014529914529914,0.019270165075253545,52.447008547008544,7.420964701113362,74.19000000000001,0.9692679823151327,0.9514194440003626,20
top1_cp,0.5593162393162393,0.04464675915052338,9.935128205128205,1.6800085130245057,16.93,0.8360093139391074,0.7511074807584238,20
