endpoint,method,success,mean_size,full_set,oracle_size,excess_size,clear_full,amb_full,runs
Atelectasis,global_panel,0.8723404255319149,1.7446808510638299,0.7446808510638298,1.6382978723404256,0.10638297872340426,0.6235294117647059,0.8133333333333334,1
Atelectasis,mccp10,0.6936170212765957,1.4680851063829787,0.46808510638297873,1.6382978723404256,-0.1702127659574468,0.32941176470588235,0.5466666666666666,1
Atelectasis,pacs_cv,1.0,2.0,1.0,1.6382978723404256,0.3617021276595745,1.0,1.0,1
Atelectasis,top1_cp,0.6893617021276596,1.4595744680851064,0.4595744680851064,1.6382978723404256,-0.17872340425531916,0.3176470588235294,0.54,1
Cardiomegaly,global_panel,0.9346153846153846,1.7230769230769232,0.7230769230769231,1.2615384615384615,0.46153846153846156,0.7083333333333334,0.7647058823529411,1
Cardiomegaly,mccp10,0.7076923076923077,1.0653846153846154,0.06538461538461539,1.2615384615384615,-0.19615384615384615,0.057291666666666664,0.08823529411764706,1
Cardiomegaly,pacs_cv,1.0,2.0,1.0,1.2615384615384615,0.7384615384615385,1.0,1.0,1
Cardiomegaly,top1_cp,0.6423076923076924,0.9346153846153846,0.0,1.2615384615384615,-0.3269230769230769,0.0,0.0,1
Consolidation,global_panel,0.8214285714285714,1.5873015873015872,0.5873015873015873,1.6111111111111112,-0.023809523809523808,0.3979591836734694,0.7077922077922078,1
Consolidation,mccp10,0.7182539682539683,1.4246031746031746,0.4246031746031746,1.6111111111111112,-0.1865079365079365,0.22448979591836735,0.551948051948052,1
Consolidation,pacs_cv,1.0,2.0,1.0,1.6111111111111112,0.3888888888888889,1.0,1.0,1
Consolidation,top1_cp,0.6626984126984127,1.3412698412698412,0.3412698412698413,1.6111111111111112,-0.2698412698412698,0.15306122448979592,0.461038961038961,1
Effusion,global_panel,0.921875,1.62890625,0.62890625,1.28515625,0.34375,0.5573770491803278,0.8082191780821918,1
Effusion,mccp10,0.859375,1.46875,0.46875,1.28515625,0.18359375,0.4098360655737705,0.6164383561643836,1
Effusion,pacs_cv,1.0,2.0,1.0,1.28515625,0.71484375,1.0,1.0,1
Effusion,top1_cp,0.859375,1.46484375,0.46484375,1.28515625,0.1796875,0.40437158469945356,0.6164383561643836,1
Nodule,global_panel,0.8705882352941177,1.6549019607843136,0.6549019607843137,1.3137254901960784,0.3411764705882353,0.6571428571428571,0.65,1
Nodule,mccp10,0.7411764705882353,1.3372549019607842,0.33725490196078434,1.3137254901960784,0.023529411764705882,0.3314285714285714,0.35,1
Nodule,pacs_cv,1.0,2.0,1.0,1.3137254901960784,0.6862745098039216,1.0,1.0,1
Nodule,top1_cp,0.7215686274509804,1.2588235294117647,0.25882352941176473,1.3137254901960784,-0.054901960784313725,0.2342857142857143,0.3125,1
Pleural Thickening,global_panel,0.88,1.4,0.4,1.336,0.064,0.27710843373493976,0.6428571428571429,1
Pleural Thickening,mccp10,0.716,1.076,0.076,1.336,-0.26,0.030120481927710843,0.16666666666666666,1
Pleural Thickening,pacs_cv,1.0,2.0,1.0,1.336,0.664,1.0,1.0,1
Pleural Thickening,top1_cp,0.656,0.968,0.0,1.336,-0.368,0.0,0.0,1
