method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,minority,runs
global,0.9047720797720799,0.021364854049436742,53.54245014245014,7.350162835277692,98.81666666666668,0.9704140100258701,0.952206040132152,48
mccp10,0.7112179487179487,0.03053680831676397,16.814031339031338,2.3338240125450245,29.712500000000006,0.8989960046862996,0.8456169980352923,48
pacs_mondrian,0.903988603988604,0.019449731067392985,54.640847578347575,5.856362327737442,85.06666666666668,0.9698936578682948,0.9523861538083688,48
top1_cp,0.5777065527065527,0.04004706453092943,10.242307692307692,1.726241170000945,17.483333333333334,0.8412150280985561,0.7605034900553452,48
