method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,minority,runs
global,0.8914529914529914,0.01928045935905582,16.428846153846155,2.5898051467285295,28.775000000000002,0.8958354825204949,0.840723332851247,24
mccp10,0.894017094017094,0.018623510126821546,16.580484330484328,2.0965751394304957,29.075000000000003,0.8973078974531692,0.8432819015775577,24
pacs_mondrian,0.9066951566951568,0.017821150723141974,20.657763532763532,2.673061773998759,34.15,0.9075782327793379,0.8548600487473162,24
top1_cp,0.8108262108262108,0.033764250705704685,9.887749287749289,1.76038599125538,16.858333333333334,0.8358988428422185,0.7515882684983382,24
