method,success,mean_size,p90_size,mean_mass,minority
global,0.8978632478632479,9.331196581196581,16.0,0.8289700932493516,0.7504843529581096
pacs_qthr,0.9034188034188034,10.483333333333334,19.0,0.8244214928021736,0.702899244014479
pacs_topk,0.9085470085470085,10.668803418803419,16.5,0.838654398202272,0.7627514468535106
