q_mass,method,case_success,case_success_sd,mean_mass,p10_mass,mean_size,p90_size,top1_cov,minority,runs
0.5,mccp10,0.9568376068376069,0.004273504273504298,0.9032297721129907,0.6955292777398041,17.75854700854701,32.150000000000006,0.9452991452991453,0.851121292183703,4
0.5,pacs,0.9123931623931624,0.025598254926276817,0.8289211867574454,0.516660730050823,11.962393162393163,25.650000000000006,0.9038461538461539,0.700741172580281,4
0.5,panel_quantile_global,0.9158119658119659,0.016418267275468863,0.83497565215039,0.5252735171916206,9.600427350427351,16.5,0.8991452991452992,0.7480913925163553,4
0.5,soft_exact,0.955982905982906,0.004909882603878669,0.9011137015734204,0.6917690099755317,17.275213675213678,31.5,0.944017094017094,0.8476503132528285,4
0.5,top1_cp,0.9264957264957265,0.016396005207906763,0.8528710878836533,0.5814985014985016,11.087179487179487,19.150000000000006,0.9106837606837607,0.7765244291745551,4
0.7,mccp10,0.8991452991452992,0.009152352367070644,0.9032297721129907,0.6955292777398041,17.75854700854701,32.150000000000006,0.9452991452991453,0.851121292183703,4
0.7,pacs,0.9008547008547009,0.0050323423739759635,0.90284071681248,0.7012603254067585,22.595726495726495,48.900000000000006,0.9521367521367521,0.8247215250980756,4
0.7,panel_quantile_global,0.9017094017094017,0.008547008547008557,0.9033478710392213,0.7015788133435192,17.954700854700853,32.75,0.9457264957264957,0.8509599187269976,4
0.7,soft_exact,0.8974358974358974,0.008936972730118608,0.9011137015734204,0.6917690099755317,17.275213675213678,31.5,0.944017094017094,0.8476503132528285,4
0.7,top1_cp,0.8367521367521368,0.027827043754016595,0.8528710878836533,0.5814985014985016,11.087179487179487,19.150000000000006,0.9106837606837607,0.7765244291745551,4
0.8,mccp10,0.844017094017094,0.02536892663189031,0.9032297721129907,0.6955292777398041,17.75854700854701,32.150000000000006,0.9452991452991453,0.851121292183703,4
0.8,pacs,0.9034188034188034,0.004069189987773689,0.9381612256080197,0.7974025974025974,36.03333333333333,76.85000000000002,0.9709401709401709,0.8861332120144911,4
0.8,panel_quantile_global,0.9034188034188034,0.014803853056144217,0.9385782770720142,0.804175770992659,28.37136752136752,51.80000000000001,0.967948717948718,0.9042400859404335,4
0.8,soft_exact,0.8414529914529915,0.02466815331566126,0.9011137015734204,0.6917690099755317,17.275213675213678,31.5,0.944017094017094,0.8476503132528285,4
0.8,top1_cp,0.7521367521367521,0.03593811289167285,0.8528710878836533,0.5814985014985016,11.087179487179487,19.150000000000006,0.9106837606837607,0.7765244291745551,4
0.9,mccp10,0.7256410256410256,0.040487929170348755,0.9032297721129907,0.6955292777398041,17.75854700854701,32.150000000000006,0.9452991452991453,0.851121292183703,4
0.9,pacs,0.9106837606837607,0.007434751196979972,0.9696020149543499,0.9109181678536518,65.09230769230768,136.3,0.9837606837606837,0.9472565122083714,4
0.9,panel_quantile_global,0.9081196581196581,0.002919359192581064,0.9701359283689198,0.9068398268398269,55.05769230769231,103.20000000000002,0.9841880341880342,0.95134689647881,4
0.9,soft_exact,0.7205128205128205,0.03756796748006141,0.9011137015734204,0.6917690099755317,17.275213675213678,31.5,0.944017094017094,0.8476503132528285,4
0.9,top1_cp,0.5991452991452991,0.0464273839943822,0.8528710878836533,0.5814985014985016,11.087179487179487,19.150000000000006,0.9106837606837607,0.7765244291745551,4
