method,success,success_sd,mean_size,full_set,oracle_size,excess_size,clear_full,amb_full,mean_mass,runs
global_panel,0.8770298532999762,0.03541132925887519,1.3808177960514083,0.38081779605140836,1.1750891154038448,0.20572868064756364,0.3461454400822062,0.5074233756719116,0.9012094017125855,6
mccp10,0.85530133478878,0.02312446450493864,1.3066796330552588,0.30667963305525886,1.1750891154038448,0.13159051765141408,0.2750509700658003,0.42301704920135297,0.8849774902143527,6
pacs_cv,1.0,0.0,2.0,1.0,1.1750891154038448,0.8249108845961551,1.0,1.0,1.0,6
top1_cp,0.8284428894284573,0.03978413556314861,1.2378544955636828,0.2540852647944521,1.1750891154038448,0.06276538015983808,0.22495183953592646,0.3593604848407341,0.8609218115399005,6
