method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,support,runs
global_panel,0.9110402590043682,0.05416006129784808,11.348499244706591,0.9158548253336287,15.2,0.9349124511156118,4.894644445286097,5
mccp10,0.8658958590919961,0.046185900502140824,9.913662439868684,0.5843737063107073,14.2,0.9018663500512446,4.894644445286097,5
pacs_effcv,0.9343823847403534,0.03126461407241545,12.311913773101557,0.35271902322308635,14.0,0.9552735393376096,4.894644445286097,5
top1_cp,0.7949280178636758,0.07366532603344816,8.601209183508733,0.8057056686174017,12.9,0.861412995437609,4.894644445286097,5
