success,mean_size,p90_size,p95_size,mean_mass,minority,method,rep,q
0.8843333333333333,1.0476666666666667,1.0,2.0,0.8744201481755114,0.006747047729961688,top1_cp,0,0.7
0.904,1.112,2.0,2.0,0.8929517417215987,0.007992003497247614,mccp10,0,0.7
0.8983333333333333,1.0903333333333334,1.0,2.0,0.8875341385827049,0.007533412993887014,global_panel,0,0.7
0.9693333333333334,1.7626666666666666,3.0,4.0,0.955229557967705,0.019581097870879725,pacs_mondrian,0,0.7
0.8783333333333333,1.0473333333333332,1.0,2.0,0.872132017694059,0.008716130944319837,top1_cp,1,0.7
0.908,1.1526666666666667,2.0,2.0,0.9005631326046256,0.01086034433947544,mccp10,1,0.7
0.8923333333333333,1.0916666666666666,1.0,2.0,0.8857866801888282,0.009719779916030223,global_panel,1,0.7
0.967,1.825,3.0,4.0,0.9559617276178339,0.02159492992947926,pacs_mondrian,1,0.7
0.8746666666666667,1.0436666666666667,1.0,1.0,0.8652844369259234,0.007443870989470532,top1_cp,2,0.7
0.9036666666666666,1.139,2.0,2.0,0.893241796404306,0.009145763257712755,mccp10,2,0.7
0.892,1.0993333333333333,1.0,2.0,0.8824376891276265,0.008615857717848044,global_panel,2,0.7
0.9686666666666667,1.711,3.0,4.0,0.95393212542593,0.019495228382512077,pacs_mondrian,2,0.7
0.8823333333333333,1.0396666666666667,1.0,1.0,0.8733194097175996,0.008248259490997136,top1_cp,3,0.7
0.8996666666666666,1.1066666666666667,2.0,2.0,0.8904583508680087,0.009490174943850986,mccp10,3,0.7
0.892,1.0786666666666667,1.0,2.0,0.8830765798199577,0.009089189493057627,global_panel,3,0.7
0.965,1.6763333333333332,3.0,4.0,0.9525082304448546,0.019382817455270852,pacs_mondrian,3,0.7
0.8843333333333333,1.0343333333333333,1.0,1.0,0.8768121147441261,0.0075300337928214415,top1_cp,4,0.7
0.9103333333333333,1.1273333333333333,2.0,2.0,0.9013817701183132,0.009605855489044454,mccp10,4,0.7
0.899,1.084,1.0,2.0,0.8908189579964516,0.008477760205054882,global_panel,4,0.7
0.976,1.8073333333333332,3.0,4.0,0.9620091630184854,0.021721180989691575,pacs_mondrian,4,0.7
0.878,1.0236666666666667,1.0,1.0,0.8698503538922518,0.006417394820444874,top1_cp,5,0.7
0.9023333333333333,1.1063333333333334,2.0,2.0,0.8930145380748878,0.00838452369038974,mccp10,5,0.7
0.8946666666666667,1.071,1.0,2.0,0.8859385080581272,0.0077462362404187675,global_panel,5,0.7
0.9733333333333334,1.738,3.0,4.0,0.9584979167418595,0.0189861297682296,pacs_mondrian,5,0.7
0.8923333333333333,1.039,1.0,1.0,0.882035852939782,0.006634017710839148,top1_cp,6,0.7
0.9186666666666666,1.1386666666666667,2.0,2.0,0.9067407356705501,0.008711802069865777,mccp10,6,0.7
0.9106666666666666,1.1043333333333334,2.0,2.0,0.8995670960334824,0.007912023260529864,global_panel,6,0.7
0.9746666666666667,1.7766666666666666,3.0,4.0,0.9594594365860815,0.01893820479708941,pacs_mondrian,6,0.7
0.8896666666666667,1.0366666666666666,1.0,1.0,0.8778980871530517,0.00634858714770971,top1_cp,7,0.7
0.9163333333333333,1.1233333333333333,2.0,2.0,0.9030673334186904,0.008541033419040027,mccp10,7,0.7
0.9113333333333333,1.1013333333333333,2.0,2.0,0.8982194363304887,0.008185705461054703,global_panel,7,0.7
0.9696666666666667,1.648,3.0,3.049999999999727,0.9538958128603161,0.01754929171044617,pacs_mondrian,7,0.7
0.876,1.0283333333333333,1.0,1.0,0.8685211976712492,0.007443424313751281,top1_cp,8,0.7
0.9113333333333333,1.148,2.0,2.0,0.90220484298178,0.01047819303459087,mccp10,8,0.7
0.894,1.0786666666666667,1.0,2.0,0.886849237694362,0.00894725327618074,global_panel,8,0.7
0.9713333333333334,1.8373333333333333,3.0,4.0,0.9579358378304388,0.021493028099134746,pacs_mondrian,8,0.7
0.879,1.0226666666666666,1.0,1.0,0.8675521683806103,0.006115321549559615,top1_cp,9,0.7
0.9086666666666666,1.1203333333333334,2.0,2.0,0.8960339241137095,0.008728672592403099,mccp10,9,0.7
0.9003333333333333,1.087,1.0,2.0,0.8876659453934767,0.007925142318215408,global_panel,9,0.7
0.9683333333333334,1.7126666666666666,3.0,4.0,0.9537962923630275,0.017578760465393587,pacs_mondrian,9,0.7
0.88,1.0353333333333334,1.0,1.0,0.8703596119182694,0.006956981608366263,top1_cp,10,0.7
0.9106666666666666,1.1316666666666666,2.0,2.0,0.8996070146908379,0.009435417641515948,mccp10,10,0.7
