case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,method,q_mass,alpha_case,model,rep,ntrain,ncal,ntest
0.9282051282051282,0.8567494436842249,0.5714285714285714,11.283760683760685,10.0,20.0,0.9111111111111111,0.7747004810945805,0.0,top1_cp,0.5,0.1,3,0,778,584,585
0.9572649572649573,0.9134071682950053,0.7194805194805196,19.283760683760683,18.0,35.0,0.9538461538461539,0.8594236926419179,0.0,mccp10,0.5,0.1,3,0,778,584,585
0.9555555555555556,0.9100220114449362,0.7142857142857144,18.533333333333335,17.0,34.0,0.9521367521367521,0.8540185899517472,0.0,soft_exact,0.5,0.1,3,0,778,584,585
0.9264957264957265,0.8456932905319761,0.5555555555555556,10.370940170940171,10.0,18.0,0.9042735042735043,0.7566352693406962,0.0,panel_quantile_global,0.5,0.1,3,0,778,584,585
0.9230769230769231,0.8332523904372879,0.5555555555555556,11.796581196581197,9.0,25.0,0.9076923076923077,0.6927395836877266,0.0,pacs,0.5,0.1,3,0,778,584,585
0.8735042735042735,0.8795190505668534,0.6446753246753248,12.370940170940171,12.0,21.600000000000023,0.9299145299145299,0.8173679273293712,0.0,top1_cp,0.7,0.1,0,0,778,584,585
0.9076923076923077,0.9055912731605156,0.7142857142857144,15.96068376068376,15.0,29.0,0.9452991452991453,0.852124352230187,0.0,mccp10,0.7,0.1,0,0,778,584,585
0.905982905982906,0.9043519569211993,0.7142857142857143,15.784615384615385,14.0,29.0,0.9435897435897436,0.8515308099699782,0.0,soft_exact,0.7,0.1,0,0,778,584,585
0.905982905982906,0.9045228970921395,0.7142857142857143,15.856410256410257,14.0,29.0,0.9435897435897436,0.8517444851836534,0.0,panel_quantile_global,0.7,0.1,0,0,778,584,585
0.905982905982906,0.9041839786364972,0.7092436974789917,19.762393162393163,16.0,37.0,0.9521367521367521,0.8144403343479247,0.0,pacs,0.7,0.1,0,0,778,584,585
0.8188034188034188,0.8366107014133705,0.5714285714285714,9.14017094017094,9.0,15.0,0.905982905982906,0.7416697698546573,0.0,top1_cp,0.7,0.1,1,0,778,584,585
0.8888888888888888,0.8907793975742387,0.6666666666666666,15.087179487179487,14.0,26.600000000000023,0.9418803418803419,0.8337254190160657,0.0,mccp10,0.7,0.1,1,0,778,584,585
0.8888888888888888,0.8896090541699976,0.6666666666666666,14.767521367521368,14.0,26.0,0.9418803418803419,0.8295539455342473,0.0,soft_exact,0.7,0.1,1,0,778,584,585
0.8888888888888888,0.8861328751275034,0.6666666666666666,13.805128205128206,13.0,24.0,0.9418803418803419,0.8213309378260826,0.0,panel_quantile_global,0.7,0.1,1,0,778,584,585
0.9025641025641026,0.8935889498870259,0.7036295369211516,19.408547008547007,15.0,45.0,0.9504273504273504,0.8033985672232402,0.0,pacs,0.7,0.1,1,0,778,584,585
