success,mean_size,p90_size,p95_size,mean_mass,minority,method,rep,q,gate_gate_threshold,gate_train_gate_rate,gate_cal_gate_rate,gate_use_high_pacs,gate_low_threshold,gate_global_threshold,gate_constant_gate
0.878,1.037,1.0,1.0,0.8715393501289737,0.008356041376156195,top1_cp,0,0.7,,,,,,,
0.9066666666666666,1.1226666666666667,2.0,2.0,0.8984514207778193,0.010770376452785549,mccp10,0,0.7,,,,,,,
0.9006666666666666,1.103,2.0,2.0,0.8926368862673532,0.009867287340991822,global_panel,0,0.7,,,,,,,
0.9536666666666667,1.7906666666666666,4.0,4.0,0.9390907361392371,0.021990926601486147,pacs_gated,0,0.7,0.010099773907060764,0.785,0.759,True,0.9543347458692881,0.2435662962223606,
0.8793333333333333,1.0176666666666667,1.0,1.0,0.867105430734731,0.00603037331968247,top1_cp,1,0.7,,,,,,,
0.9106666666666666,1.113,2.0,2.0,0.8965910275261667,0.007823976035091986,mccp10,1,0.7,,,,,,,
0.8996666666666666,1.072,1.0,2.0,0.886096267621117,0.007035594634999976,global_panel,1,0.7,,,,,,,
0.962,1.7736666666666667,3.0,4.0,0.9470919701709475,0.019275556388464673,pacs_gated,1,0.7,0.013719519014958874,0.77925,0.7793333333333333,True,0.9402769485509269,0.26959355711512717,
0.87,1.0163333333333333,1.0,1.0,0.8625621913969288,0.007331087847939753,top1_cp,2,0.7,,,,,,,
0.9056666666666666,1.125,2.0,2.0,0.8950558544588803,0.010365944529149032,mccp10,2,0.7,,,,,,,
0.8983333333333333,1.096,1.0,2.0,0.88831046235816,0.009596433811460893,global_panel,2,0.7,,,,,,,
0.948,1.701,3.0,4.0,0.9352418910219491,0.01986044671707945,pacs_gated,2,0.7,0.0067018850260054195,0.76225,0.7723333333333333,True,0.9681004664072363,0.25009209150534206,
0.89,1.0396666666666667,1.0,1.0,0.8814703163631507,0.006957421296362,top1_cp,3,0.7,,,,,,,
0.91,1.104,2.0,2.0,0.9002529479425792,0.008187548141595604,mccp10,3,0.7,,,,,,,
0.9033333333333333,1.0773333333333333,1.0,2.0,0.8940145762007202,0.007710837811277378,global_panel,3,0.7,,,,,,,
0.9413333333333334,1.841,4.0,4.0,0.9286992454547172,0.020435469691821362,pacs_gated,3,0.7,0.010661488380303336,0.5855,0.575,True,0.9580538173779777,0.26155254297265,
0.8773333333333333,1.0176666666666667,1.0,1.0,0.8705530114213262,0.007853284643554979,top1_cp,4,0.7,,,,,,,
0.9083333333333333,1.12,2.0,2.0,0.8999609223334653,0.010075847844282096,mccp10,4,0.7,,,,,,,
0.8973333333333333,1.082,1.0,2.0,0.8893125665861045,0.009384763199094473,global_panel,4,0.7,,,,,,,
0.9543333333333334,1.8346666666666667,3.0,4.0,0.942338321730475,0.021650524050627326,pacs_gated,4,0.7,0.007239134456559735,0.75375,0.7546666666666667,True,0.9506273504923428,0.25964241409858607,
0.8733333333333333,1.02,1.0,1.0,0.8644077980525823,0.00563686445615361,top1_cp,5,0.7,,,,,,,
0.9036666666666666,1.111,2.0,2.0,0.8930933647055572,0.00837338111359931,mccp10,5,0.7,,,,,,,
0.8913333333333333,1.0663333333333334,1.0,2.0,0.8819991624878621,0.007249329469922041,global_panel,5,0.7,,,,,,,
0.97,1.7796666666666667,3.0,4.0,0.9574903821254749,0.01988194193225844,pacs_gated,5,0.7,0.006106909742635733,0.99975,0.9996666666666667,True,0.2728470093071492,0.2728470093071492,
0.8836666666666667,1.021,1.0,1.0,0.8740461238671502,0.007054269487962605,top1_cp,6,0.7,,,,,,,
0.917,1.1403333333333334,2.0,2.0,0.9059294427037575,0.010186707427474058,mccp10,6,0.7,,,,,,,
0.905,1.0873333333333333,1.0,2.0,0.8946995134856973,0.00904729362689645,global_panel,6,0.7,,,,,,,
0.9456666666666667,1.7343333333333333,3.0,4.0,0.9327093411810266,0.020427596757141644,pacs_gated,6,0.7,0.011517341870221935,0.656,0.6663333333333333,True,0.9523049258482779,0.24981466216001433,
0.8693333333333333,1.0143333333333333,1.0,1.0,0.8617936954450391,0.0072435120341940796,top1_cp,7,0.7,,,,,,,
0.905,1.113,2.0,2.0,0.8948069035043412,0.009664819114418655,mccp10,7,0.7,,,,,,,
0.893,1.07,1.0,2.0,0.8836055499960414,0.008566462538053099,global_panel,7,0.7,,,,,,,
0.945,1.8446666666666667,4.0,5.0,0.9306720957281014,0.02133985909081403,pacs_gated,7,0.7,0.00849382345992897,0.67725,0.682,True,0.9533673341680141,0.26896992945764747,
0.8753333333333333,1.0243333333333333,1.0,1.0,0.8671625224625713,0.007637826021769474,top1_cp,8,0.7,,,,,,,
0.9,1.1023333333333334,2.0,2.0,0.890263311382116,0.009808522611819637,mccp10,8,0.7,,,,,,,
0.8906666666666667,1.072,1.0,2.0,0.8820342665421601,0.009394298213828579,global_panel,8,0.7,,,,,,,
0.9563333333333334,1.6263333333333334,3.0,4.0,0.9420738682031347,0.019017396009874784,pacs_gated,8,0.7,0.006151806851092489,0.922,0.93,True,0.9361607645786872,0.275768178027559,
0.875,1.0286666666666666,1.0,1.0,0.8662251621003834,0.007420329524187147,top1_cp,9,0.7,,,,,,,
0.9093333333333333,1.1363333333333334,2.0,2.0,0.8993593916735965,0.010290474633161968,mccp10,9,0.7,,,,,,,
0.8996666666666666,1.099,1.0,2.0,0.8903235943177785,0.009238205611754556,global_panel,9,0.7,,,,,,,
0.9616666666666667,1.975,4.0,4.0,0.9489200173819854,0.023019046874433135,pacs_gated,9,0.7,0.009577355191534818,0.7155,0.6993333333333334,True,0.9365206836167511,0.24922990421765862,
0.872,1.0363333333333333,1.0,1.0,0.8647199567318917,0.007345040758641017,top1_cp,10,0.7,,,,,,,
