method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,support,runs
global_panel,0.9095948141264557,0.048595564113185316,12.699647435301605,0.7185342313746851,15.8,0.9629832702944648,4.894644445286097,5
mccp10,0.7579792192455523,0.056944814788187345,9.913662439868684,0.5843737063107073,14.2,0.9018663500512446,4.894644445286097,5
pacs_effcv,0.9442999023132603,0.02637455560030147,13.69633320364503,0.3611587271693704,15.8,0.978828557137373,4.894644445286097,5
top1_cp,0.6516214810771515,0.08378704856642122,8.601209183508733,0.8057056686174017,12.9,0.861412995437609,4.894644445286097,5
