method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,runs
global_panel,0.9111985718506723,0.019022370985383088,14.591812864451187,0.27658272320583244,16.0,0.9666325712324356,30
mccp10,0.7313219711872919,0.05495955349327222,12.073262984801639,0.6202415660437718,14.8,0.9044020807282415,30
pacs_mondrian_q0.90,0.9626292055079236,0.018018383865266902,15.013394031126015,0.22472611168132733,15.933333333333334,0.9858764786035328,30
top1_cp,0.6505286803751338,0.08058258611710417,10.66425213094904,1.4083526215855324,13.366666666666667,0.8731347429257516,30
