case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method
0.9179487179487179,0.9786683092035172,0.9295566502463055,54.59487179487179,47.0,101.60000000000002,0.9880341880341881,0.958555800013341,0.0,0,0,global
0.6256410256410256,0.8690428705420198,0.6069020866773677,10.162393162393162,10.0,17.0,0.9179487179487179,0.7870778838213627,0.0,0,0,top1_cp
0.7589743589743589,0.9215676527905011,0.75,16.864957264957265,15.0,30.0,0.9504273504273504,0.8678509489385423,0.0,0,0,mccp10
0.9282051282051282,0.98055933562009,0.9473684210526315,59.406837606837605,71.0,86.0,0.9880341880341881,0.9638386053455429,0.0,0,0,pacs_mondrian
0.8888888888888888,0.9675680024227343,0.8876310272536687,45.84102564102564,40.0,87.0,0.9811965811965812,0.9471384784759426,0.0,0,1,global
0.5128205128205128,0.8168683196021048,0.5,8.035897435897436,7.0,14.0,0.8837606837606837,0.7111302077860753,0.0,0,1,top1_cp
0.6547008547008547,0.8811945231903947,0.6479755538579068,13.28888888888889,12.0,24.0,0.9247863247863248,0.8166081994617121,0.0,0,1,mccp10
0.8923076923076924,0.9673917254983387,0.8928571428571428,51.38290598290598,48.0,93.0,0.9811965811965812,0.9475944998426623,0.0,0,1,pacs_mondrian
0.8358974358974359,0.9539728880575156,0.8557603686635944,40.46666666666667,38.0,73.0,0.9777777777777777,0.9159391885871883,0.0,0,2,global
0.5965811965811966,0.858383287054366,0.6086124401913876,11.900854700854701,11.0,20.0,0.9264957264957265,0.7565427023846196,0.0,0,2,top1_cp
0.7008547008547008,0.9008083274634836,0.7058823529411764,18.174358974358974,17.0,32.0,0.9487179487179487,0.8280846126749637,0.0,0,2,mccp10
0.864957264957265,0.9585082966005847,0.875,46.48888888888889,47.0,77.60000000000002,0.976068376068376,0.9279885353391811,0.0,0,2,pacs_mondrian
0.8888888888888888,0.9652608199600029,0.8888888888888888,51.126495726495726,47.0,97.0,0.9811965811965812,0.9409521104660552,0.0,0,3,global
0.5846153846153846,0.8391311378981292,0.5,10.451282051282051,10.0,18.0,0.8871794871794871,0.7635178442347904,0.0,0,3,top1_cp
0.717948717948718,0.8998592154551842,0.6782227784730915,17.33162393162393,16.0,30.600000000000023,0.935042735042735,0.8453310358898715,0.0,0,3,mccp10
0.8940170940170941,0.9679840243916886,0.8888888888888888,54.37435897435898,63.0,76.0,0.9794871794871794,0.950261722421416,0.0,0,3,pacs_mondrian
0.905982905982906,0.9664480377364432,0.9135403726708075,51.07179487179487,46.0,95.0,0.9794871794871794,0.951531147480999,0.0,1,0,global
0.652991452991453,0.8751920235714552,0.6356265356265356,11.798290598290599,11.0,20.0,0.9213675213675213,0.8112355253560036,0.0,1,0,top1_cp
0.7435897435897436,0.9095376819485149,0.7057142857142858,16.716239316239317,15.0,29.600000000000023,0.9435897435897436,0.8641356706559777,0.0,1,0,mccp10
0.9111111111111111,0.9673499719117081,0.9252747252747253,53.95042735042735,53.0,93.60000000000002,0.9811965811965812,0.9551708366272675,0.0,1,0,pacs_mondrian
0.9179487179487179,0.9761382277372256,0.9142857142857143,48.89230769230769,42.0,95.0,0.9897435897435898,0.9569305908075763,0.0,1,1,global
0.5418803418803418,0.8331570923391153,0.5,8.311111111111112,7.0,14.0,0.8871794871794871,0.7409273061791309,0.0,1,1,top1_cp
0.7111111111111111,0.9054365961875378,0.7142857142857142,15.49059829059829,14.0,28.0,0.9384615384615385,0.8549465799156861,0.0,1,1,mccp10
0.9196581196581196,0.9774591724416799,0.92987012987013,53.2017094017094,54.0,90.0,0.9931623931623932,0.9562670598853585,0.0,1,1,pacs_mondrian
0.9213675213675213,0.9724528307859682,0.9375,59.623931623931625,57.0,106.0,0.9863247863247864,0.9602589556498062,0.0,1,2,global
0.6170940170940171,0.8537939711246977,0.5714285714285714,12.18119658119658,12.0,21.0,0.905982905982906,0.7923007091774265,0.0,1,2,top1_cp
0.7264957264957265,0.8993046497135174,0.6874493927125506,18.594871794871796,17.0,32.0,0.9401709401709402,0.8518359369116081,0.0,1,2,mccp10
0.9145299145299145,0.9717151627942444,0.9246753246753247,56.241025641025644,60.0,75.0,0.9880341880341881,0.9603698094844952,0.0,1,2,pacs_mondrian
0.9247863247863248,0.9760735330083926,0.9362376237623763,60.13333333333333,55.0,109.0,0.9880341880341881,0.959147132983719,0.0,1,3,global
0.576068376068376,0.8403933646756491,0.5133333333333335,10.222222222222221,10.0,17.0,0.8871794871794871,0.7652977852468379,0.0,1,3,top1_cp
0.7094017094017094,0.9022498100770715,0.7023529411764706,16.61025641025641,16.0,28.0,0.9435897435897436,0.8381927305124764,0.0,1,3,mccp10
0.9196581196581196,0.9756224637680052,0.9328838951310863,55.51111111111111,63.0,74.0,0.9897435897435898,0.9573625081082962,0.0,1,3,pacs_mondrian
0.9230769230769231,0.9740282862599109,0.9273109243697479,55.271794871794874,49.0,103.20000000000005,0.9880341880341881,0.9548533485635021,0.0,2,0,global
0.5435897435897435,0.824717753018882,0.5,8.256410256410257,8.0,14.0,0.8888888888888888,0.7318879546351397,0.0,2,0,top1_cp
0.6974358974358974,0.8932975720998148,0.6666666666666666,14.765811965811967,14.0,26.0,0.9316239316239316,0.8353847429749957,0.0,2,0,mccp10
0.9111111111111111,0.971735926985847,0.9097402597402598,51.5025641025641,51.0,87.0,0.9846153846153847,0.950962140278039,0.0,2,0,pacs_mondrian
0.8940170940170941,0.9664975252623136,0.8911719605695511,46.11282051282051,40.0,87.60000000000002,0.9794871794871794,0.952961345955706,0.0,2,1,global
0.5487179487179488,0.8221099103974061,0.48861167002012074,8.38974358974359,8.0,14.0,0.8957264957264958,0.7247694515256943,0.0,2,1,top1_cp
0.6683760683760683,0.8774709963839207,0.6026966292134832,12.994871794871795,12.0,23.0,0.9264957264957265,0.8130229404606607,0.0,2,1,mccp10
0.882051282051282,0.9635923995741854,0.8823529411764706,46.99487179487179,53.0,65.0,0.976068376068376,0.950520424166739,0.0,2,1,pacs_mondrian
0.8700854700854701,0.9520128963498595,0.8636363636363636,46.25982905982906,43.0,82.60000000000002,0.9658119658119658,0.9387851146186321,0.0,2,2,global
0.5658119658119658,0.823197675371226,0.43492063492063504,11.276923076923078,11.0,19.0,0.8735042735042735,0.7631147492838799,0.0,2,2,top1_cp
0.6957264957264957,0.8839589369408772,0.6323232323232323,18.073504273504273,17.0,33.0,0.9145299145299145,0.8479484525779412,0.0,2,2,mccp10
0.8871794871794871,0.9634135452764118,0.8823529411764707,52.96068376068376,59.0,67.60000000000002,0.9709401709401709,0.9527266400923952,0.0,2,2,pacs_mondrian
0.9230769230769231,0.9765769510491422,0.9321246169560777,61.94358974358974,57.0,116.0,0.9880341880341881,0.9600513120682492,0.0,2,3,global
0.6034188034188034,0.8541695646836119,0.5555555555555556,11.37948717948718,11.0,19.0,0.9094017094017094,0.7699931237428129,0.0,2,3,top1_cp
0.6871794871794872,0.8948215531276424,0.6833766233766234,16.673504273504275,16.0,30.0,0.9401709401709402,0.8311259935600573,0.0,2,3,mccp10
0.9230769230769231,0.9740955232791461,0.9333333333333333,64.11794871794872,52.0,102.0,0.9846153846153847,0.9599540865406654,0.0,2,3,pacs_mondrian
0.8700854700854701,0.9633233775238657,0.875,43.13504273504274,38.0,82.60000000000002,0.9811965811965812,0.9415085183119187,0.0,3,0,global
0.558974358974359,0.8418597602668755,0.5248081841432225,9.384615384615385,9.0,17.0,0.9025641025641026,0.7583601562143318,0.0,3,0,top1_cp
0.6905982905982906,0.8968041033749,0.6923076923076924,14.533333333333333,14.0,26.0,0.9401709401709402,0.8378850379319296,0.0,3,0,mccp10
0.882051282051282,0.9639905165150017,0.8823529411764706,47.14700854700855,49.0,75.0,0.9794871794871794,0.9496726671623422,0.0,3,0,pacs_mondrian
0.8991452991452992,0.9676855382839975,0.8957142857142858,49.52820512820513,43.0,91.0,0.9880341880341881,0.9434947374986911,0.0,3,1,global
0.5504273504273505,0.8270238069618024,0.5,8.726495726495726,8.0,14.0,0.8871794871794871,0.743614239941146,0.0,3,1,top1_cp
0.7008547008547008,0.8943637597041934,0.6894230769230769,15.391452991452992,14.0,26.0,0.9333333333333333,0.8467694020366254,0.0,3,1,mccp10
0.8923076923076924,0.9647437496858666,0.8896969696969698,48.43418803418803,35.0,81.0,0.9846153846153847,0.9397226696194804,0.0,3,1,pacs_mondrian
0.8786324786324786,0.956473883152042,0.875,48.79145299145299,44.0,86.0,0.9709401709401709,0.9399804924702813,0.0,3,2,global
0.5470085470085471,0.8125986449266285,0.42857142857142855,10.372649572649573,10.0,17.0,0.864957264957265,0.7442701061422113,0.0,3,2,top1_cp
0.6717948717948717,0.8680613932592012,0.6000000000000001,15.719658119658119,15.0,26.0,0.9025641025641026,0.8214210151747896,0.0,3,2,mccp10
0.8786324786324786,0.9570651778234398,0.8779411764705882,50.77094017094017,45.0,92.60000000000002,0.9726495726495726,0.9406447340028209,0.0,3,2,pacs_mondrian
0.9111111111111111,0.9731568406539647,0.9285714285714286,64.33846153846154,59.0,118.60000000000002,0.9880341880341881,0.9547630096282554,0.0,3,3,global
0.6324786324786325,0.8569830957938723,0.5494949494949496,12.087179487179487,11.0,21.0,0.9094017094017094,0.7887281555922512,0.0,3,3,top1_cp
0.7555555555555555,0.9120669326371409,0.7221590909090909,20.54700854700855,19.0,37.0,0.9504273504273504,0.8653427959703011,0.0,3,3,mccp10
0.9316239316239316,0.9779905723160006,0.972287780738485,67.25641025641026,69.0,95.60000000000002,0.9846153846153847,0.9690033338528574,0.0,3,3,pacs_mondrian
