success,mean_size,median_size,p90_size,mean_mass,minority,support,method,rep,q,ntrain,ncal,ntest,selected_q
0.7022900763358778,8.748091603053435,9.0,13.0,0.8906424936386769,0.376087786259542,4.66412213740458,top1_cp,0,0.9,315,226,262,
0.8053435114503816,10.16030534351145,11.0,15.0,0.9262995274445657,0.4011595783351508,4.66412213740458,mccp10,0,0.9,315,226,262,
0.9541984732824428,13.541984732824428,15.0,16.0,0.9768247909850963,0.43995456197746274,4.66412213740458,global_panel,0,0.9,315,226,262,
0.9656488549618321,14.13740458015267,15.0,16.0,0.9869465648854964,0.44244274809160306,4.66412213740458,pacs_cv,0,0.9,315,226,262,0.85
0.5256410256410257,7.465811965811966,8.0,12.0,0.7876607651607653,0.34872303622303624,5.055555555555555,top1_cp,1,0.9,329,240,234,
0.6623931623931624,8.91025641025641,10.0,13.0,0.8471733821733822,0.38772283272283276,5.055555555555555,mccp10,1,0.9,329,240,234,
0.8290598290598291,11.623931623931623,13.0,15.0,0.9255759055759057,0.4347914122914123,5.055555555555555,global_panel,1,0.9,329,240,234,
0.8974358974358975,13.081196581196581,14.0,15.0,0.9589122914122914,0.4524725274725275,5.055555555555555,pacs_cv,1,0.9,329,240,234,0.5
0.7439024390243902,9.715447154471544,11.0,13.5,0.9134001161440186,0.4007404181184669,4.817073170731708,top1_cp,2,0.9,324,233,246,
0.7967479674796748,10.341463414634147,11.0,14.0,0.9306833139759969,0.4105710414247,4.817073170731708,mccp10,2,0.9,324,233,246,
0.9349593495934959,13.09349593495935,14.0,16.0,0.980118079752226,0.4480603948896632,4.817073170731708,global_panel,2,0.9,324,233,246,
0.9512195121951219,13.78048780487805,15.0,16.0,0.9815679442508711,0.4515427797135114,4.817073170731708,pacs_cv,2,0.9,324,233,246,0.75
0.6653061224489796,8.673469387755102,10.0,13.0,0.8559241982507287,0.39574344023323615,5.081632653061225,top1_cp,3,0.9,311,247,245,
0.7673469387755102,10.253061224489796,12.0,15.0,0.9052244897959184,0.42623323615160347,5.081632653061225,mccp10,3,0.9,311,247,245,
0.926530612244898,12.742857142857142,15.0,16.0,0.9708979591836735,0.4736209912536444,5.081632653061225,global_panel,3,0.9,311,247,245,
0.9469387755102041,13.46938775510204,14.0,15.0,0.979673469387755,0.48111758989310016,5.081632653061225,pacs_cv,3,0.9,311,247,245,0.75
0.6209677419354839,8.403225806451612,9.0,13.0,0.8594374039938556,0.3727889784946237,4.854838709677419,top1_cp,4,0.9,331,224,248,
0.7580645161290323,9.903225806451612,11.0,14.0,0.8999510368663594,0.39902841781874043,4.854838709677419,mccp10,4,0.9,331,224,248,
0.9032258064516129,12.495967741935484,14.0,16.0,0.9614996159754224,0.43860119047619045,4.854838709677419,global_panel,4,0.9,331,224,248,
0.9556451612903226,13.818548387096774,14.0,16.0,0.9861328725038403,0.45724558371735796,4.854838709677419,pacs_cv,4,0.9,331,224,248,0.65
