success,mean_size,p90_size,mean_mass,method,rep,ntrain,ncal,ntest
0.694560669456067,9.230125523012552,11.200000000000017,0.8477126917712692,top1_cp,0,315,256,239
0.8326359832635983,11.401673640167363,14.0,0.9064514843594341,mccp10,0,315,256,239
0.9163179916317992,13.912133891213388,16.0,0.954884439131301,global_panel,0,315,256,239
0.9163179916317992,13.288702928870293,14.0,0.9498047419804742,pacs_mondrian_q0.90,0,315,256,239
0.7544642857142857,10.736607142857142,13.0,0.8605782312925171,top1_cp,1,337,249,224
0.8303571428571429,12.535714285714286,16.0,0.907904974489796,mccp10,1,337,249,224
0.9375,14.558035714285714,16.0,0.9633992346938776,global_panel,1,337,249,224
0.9017857142857143,13.857142857142858,15.0,0.9428018707482992,pacs_mondrian_q0.90,1,337,249,224
0.7573221757322176,9.154811715481172,12.0,0.8545776051006176,top1_cp,2,328,243,239
0.8661087866108786,11.94979079497908,14.0,0.9191322972703725,mccp10,2,328,243,239
0.895397489539749,13.117154811715482,16.0,0.9388423988842398,global_panel,2,328,243,239
0.9372384937238494,13.456066945606695,15.0,0.9601105797967723,pacs_mondrian_q0.90,2,328,243,239
0.8589211618257261,12.95850622406639,16.0,0.9178976486860305,top1_cp,3,312,257,241
0.8423236514522822,12.207468879668049,14.0,0.9044526773364948,mccp10,3,312,257,241
0.9253112033195021,14.273858921161827,16.0,0.9524757952973721,global_panel,3,312,257,241
0.979253112033195,14.892116182572614,16.0,0.9859336099585063,pacs_mondrian_q0.90,3,312,257,241
0.8247011952191236,11.741035856573705,14.0,0.9013194839688864,top1_cp,4,316,243,251
0.8446215139442231,12.458167330677291,16.0,0.9152532726237906,mccp10,4,316,243,251
0.9043824701195219,13.912350597609562,16.0,0.9529757161828875,global_panel,4,316,243,251
0.9721115537848606,14.191235059760956,15.0,0.9672282299373933,pacs_mondrian_q0.90,4,316,243,251
0.8288288288288288,11.153153153153154,13.900000000000006,0.8987076362076364,top1_cp,5,334,254,222
0.8603603603603603,12.076576576576576,14.0,0.9168178893178894,mccp10,5,334,254,222
0.954954954954955,13.77027027027027,16.0,0.967917202917203,global_panel,5,334,254,222
0.9504504504504504,13.58108108108108,15.0,0.9612880737880738,pacs_mondrian_q0.90,5,334,254,222
0.7833935018050542,11.104693140794224,14.0,0.8772838232766029,top1_cp,6,302,231,277
0.7870036101083032,11.288808664259928,14.0,0.8793536187037991,mccp10,6,302,231,277
0.8844765342960289,13.581227436823104,16.0,0.9355561285886196,global_panel,6,302,231,277
0.9061371841155235,13.505415162454874,15.0,0.9445788206979542,pacs_mondrian_q0.90,6,302,231,277
0.8156862745098039,12.16470588235294,15.0,0.8998029878618115,top1_cp,7,306,249,255
0.8431372549019608,12.72549019607843,16.0,0.9139747899159664,mccp10,7,306,249,255
0.8901960784313725,13.937254901960785,16.0,0.9416031746031746,global_panel,7,306,249,255
0.9529411764705882,14.027450980392157,15.0,0.9668562091503269,pacs_mondrian_q0.90,7,306,249,255
0.7676348547717843,9.439834024896266,12.0,0.8643914246196405,top1_cp,8,323,246,241
0.8672199170124482,11.58091286307054,14.0,0.9099673977474807,mccp10,8,323,246,241
0.9336099585062241,13.556016597510373,16.0,0.9553714680893104,global_panel,8,323,246,241
0.9626556016597511,14.112033195020746,15.0,0.9670944477376013,pacs_mondrian_q0.90,8,323,246,241
0.8266666666666667,10.24,13.0,0.8915767195767196,top1_cp,9,336,249,225
0.9244444444444444,12.937777777777777,16.0,0.9457746031746032,mccp10,9,336,249,225
0.9688888888888889,14.164444444444445,16.0,0.9736190476190476,global_panel,9,336,249,225
0.9555555555555556,13.8,15.0,0.9688338624338624,pacs_mondrian_q0.90,9,336,249,225
0.6984126984126984,9.277777777777779,12.0,0.8224300831443688,top1_cp,10,328,230,252
0.7896825396825397,11.261904761904763,14.0,0.8736819727891156,mccp10,10,328,230,252
0.9047619047619048,14.166666666666666,16.0,0.9380196523053667,global_panel,10,328,230,252
0.9007936507936508,13.345238095238095,15.0,0.9386791383219953,pacs_mondrian_q0.90,10,328,230,252
0.7900763358778626,9.927480916030534,12.900000000000006,0.8693202471828426,top1_cp,11,301,247,262
0.8587786259541985,11.958015267175572,14.0,0.907314612868048,mccp10,11,301,247,262
0.9694656488549618,14.5,16.0,0.9756015994183934,global_panel,11,301,247,262
0.9580152671755725,14.045801526717558,15.0,0.9688758633224281,pacs_mondrian_q0.90,11,301,247,262
0.6825396825396826,9.047619047619047,12.0,0.8327891156462586,top1_cp,12,315,243,252
0.8174603174603174,11.436507936507937,14.0,0.8817724867724867,mccp10,12,315,243,252
0.8849206349206349,13.273809523809524,16.0,0.9330300453514739,global_panel,12,315,243,252
0.9642857142857143,13.642857142857142,14.0,0.9609117535903251,pacs_mondrian_q0.90,12,315,243,252
0.7854251012145749,10.68825910931174,13.0,0.8806130711393868,top1_cp,13,302,261,247
0.8380566801619433,12.331983805668017,16.0,0.9084094852515906,mccp10,13,302,261,247
0.9149797570850202,14.506072874493928,16.0,0.9559041835357625,global_panel,13,302,261,247
0.9392712550607287,13.906882591093117,15.0,0.956015037593985,pacs_mondrian_q0.90,13,302,261,247
0.8109243697478992,9.995798319327731,12.0,0.8813855542216887,top1_cp,14,321,251,238
0.8613445378151261,11.878151260504202,14.0,0.9028331332533014,mccp10,14,321,251,238
0.9117647058823529,13.445378151260504,16.0,0.9391636654661866,global_panel,14,321,251,238
0.9495798319327731,13.949579831932773,15.0,0.959044617847139,pacs_mondrian_q0.90,14,321,251,238
0.7983539094650206,12.238683127572017,14.0,0.8840672153635116,top1_cp,15,310,257,243
0.8189300411522634,12.781893004115226,16.0,0.8979031941994906,mccp10,15,310,257,243
0.8888888888888888,14.218106995884774,16.0,0.938050166568685,global_panel,15,310,257,243
0.9711934156378601,14.473251028806585,16.0,0.9758485204781502,pacs_mondrian_q0.90,15,310,257,243
0.7641921397379913,9.541484716157205,12.0,0.8505271366188397,top1_cp,16,343,238,229
0.8820960698689956,12.703056768558952,16.0,0.9225036390101892,mccp10,16,343,238,229
0.9344978165938864,14.034934497816593,16.0,0.952532751091703,global_panel,16,343,238,229
0.925764192139738,13.7117903930131,15.0,0.9485225618631734,pacs_mondrian_q0.90,16,343,238,229
0.7589285714285714,9.53125,12.0,0.8513233418367346,top1_cp,17,330,256,224
0.8258928571428571,11.941964285714286,14.0,0.898720238095238,mccp10,17,330,256,224
0.9151785714285714,13.71875,16.0,0.9514413265306123,global_panel,17,330,256,224
0.9598214285714286,13.892857142857142,15.0,0.9664774659863945,pacs_mondrian_q0.90,17,330,256,224
0.8529411764705882,12.785714285714286,16.0,0.9132513005202081,top1_cp,18,308,264,238
0.8529411764705882,12.634453781512605,16.0,0.9119907963185274,mccp10,18,308,264,238
0.9159663865546218,14.147058823529411,16.0,0.950718287314926,global_panel,18,308,264,238
0.9663865546218487,14.6890756302521,16.0,0.9789735894357744,pacs_mondrian_q0.90,18,308,264,238
0.7459677419354839,10.241935483870968,13.0,0.8570583717357911,top1_cp,19,322,240,248
0.8185483870967742,11.85483870967742,14.0,0.8922628648233487,mccp10,19,322,240,248
0.8870967741935484,13.564516129032258,16.0,0.9271947004608295,global_panel,19,322,240,248
0.9233870967741935,13.669354838709678,15.0,0.9563844086021506,pacs_mondrian_q0.90,19,322,240,248
0.7608695652173914,10.434782608695652,13.0,0.8620455486542443,top1_cp,20,338,242,230
0.8260869565217391,11.934782608695652,14.0,0.8992836438923395,mccp10,20,338,242,230
0.9,13.517391304347827,16.0,0.9426997929606625,global_panel,20,338,242,230
0.9608695652173913,14.28695652173913,16.0,0.9769233954451346,pacs_mondrian_q0.90,20,338,242,230
0.8577586206896551,11.030172413793103,14.0,0.8995925697865353,top1_cp,21,340,238,232
0.8922413793103449,12.491379310344827,16.0,0.9231434729064041,mccp10,21,340,238,232
0.9310344827586207,14.02155172413793,16.0,0.9541923234811166,global_panel,21,340,238,232
0.9698275862068966,14.168103448275861,15.0,0.9724035303776684,pacs_mondrian_q0.90,21,340,238,232
0.680672268907563,8.722689075630251,11.0,0.8105082032813126,top1_cp,22,328,244,238
0.7899159663865546,11.197478991596638,14.0,0.8680882352941177,mccp10,22,328,244,238
0.907563025210084,13.533613445378151,16.0,0.9362364945978391,global_panel,22,328,244,238
0.8991596638655462,12.815126050420169,14.0,0.9269117647058824,pacs_mondrian_q0.90,22,328,244,238
0.8059071729957806,11.721518987341772,14.0,0.8885081374321881,top1_cp,23,330,243,237
0.8059071729957806,11.721518987341772,14.0,0.8885081374321881,mccp10,23,330,243,237
0.8818565400843882,13.40084388185654,16.0,0.9297528631705846,global_panel,23,330,243,237
0.9493670886075949,13.873417721518987,15.0,0.961163351416516,pacs_mondrian_q0.90,23,330,243,237
0.857707509881423,12.403162055335969,16.0,0.9117786561264822,top1_cp,24,323,234,253
0.8853754940711462,12.885375494071146,16.0,0.9284396762657632,mccp10,24,323,234,253
0.9367588932806324,13.885375494071146,16.0,0.9585977790325616,global_panel,24,323,234,253
0.9604743083003953,14.162055335968379,15.0,0.9692254846602674,pacs_mondrian_q0.90,24,323,234,253
0.6844262295081968,8.131147540983607,11.0,0.823735362997658,top1_cp,25,322,244,244
0.7909836065573771,10.76639344262295,13.0,0.8872140905542546,mccp10,25,322,244,244
0.8565573770491803,12.676229508196721,16.0,0.9251961358313817,global_panel,25,322,244,244
