method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,runs
global_panel,0.91339496313765,0.025691193790925323,13.84145012599948,0.45690823939672887,16.0,0.9478321199832408,30
mccp10,0.8395725460482308,0.033395700684645396,12.073262984801639,0.6202415660437718,14.8,0.9044020807282415,30
pacs_mondrian_q0.90,0.94314960725624,0.026272762652622524,13.878340549630044,0.5110150569945221,15.033333333333333,0.9604367397910789,30
top1_cp,0.7812016717654207,0.05670864569226416,10.66425213094904,1.4083526215855324,13.366666666666667,0.8731347429257516,30
