case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,model,method
0.9094017094017094,0.9719468933152854,0.9220779220779222,55.9025641025641,51.0,101.0,0.9811965811965812,0.9559963875954645,0.0,3,global
0.9162393162393162,0.976498533467512,0.9375,57.141880341880345,56.0,67.0,0.9811965811965812,0.965728310866432,0.0,3,topk_q0.50
0.9145299145299145,0.9754741963588376,0.9324242424242425,56.2957264957265,54.0,69.0,0.9811965811965812,0.964112932149604,0.0,3,topk_q0.65
0.9128205128205128,0.9736357455303367,0.9298701298701298,53.4991452991453,53.0,68.0,0.9794871794871794,0.9630212054438969,0.0,3,topk_q0.75
0.905982905982906,0.9731182669373608,0.9246753246753248,52.675213675213676,55.0,68.0,0.9794871794871794,0.9609175716262114,0.0,3,topk_q0.85
0.9025641025641026,0.9701856492220401,0.9036363636363637,53.18803418803419,55.0,77.0,0.9794871794871794,0.9579874786242792,0.0,3,topk_q0.90
0.9042735042735043,0.970990773069757,0.9220779220779222,58.98461538461538,57.0,90.0,0.9811965811965812,0.9567542738364415,0.0,3,topk_q0.95
