case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method
0.864957264957265,0.8805883908869998,0.635135135135135,12.858119658119659,12.0,22.0,0.9230769230769231,0.8108272371072035,0.0,2,0,global
0.811965811965812,0.8344400286672231,0.5107990314769976,8.733333333333333,8.0,15.0,0.9025641025641026,0.7293086501658596,0.0,2,0,top1_cp
0.8717948717948718,0.8845990135122856,0.6510924369747899,12.96068376068376,12.0,22.0,0.9282051282051282,0.8118300469335427,0.0,2,0,mccp10
0.8991452991452992,0.8999921621876223,0.6953846153846155,17.358974358974358,17.0,25.0,0.9418803418803419,0.8275383275673897,0.0,2,0,pacs_mondrian
0.8940170940170941,0.8920875252074065,0.6782227784730915,13.572649572649572,13.0,23.0,0.9418803418803419,0.8321461735606492,0.0,2,1,global
0.811965811965812,0.8367307939557952,0.5384615384615385,8.627350427350427,8.0,14.0,0.9008547008547009,0.7582739123001888,0.0,2,1,top1_cp
0.905982905982906,0.9036391522032245,0.7142857142857142,15.635897435897435,14.0,27.0,0.9452991452991453,0.8554587662395,0.0,2,1,mccp10
0.9145299145299145,0.9110040478031248,0.7272727272727273,17.247863247863247,18.0,25.0,0.9487179487179487,0.8624814743209152,0.0,2,1,pacs_mondrian
0.8905982905982905,0.897295162932878,0.6681818181818182,18.0,17.0,30.0,0.935042735042735,0.8544935478657516,0.0,2,2,global
0.8017094017094017,0.8310771213476155,0.5,11.172649572649572,11.0,19.0,0.8854700854700854,0.7675498152958383,0.0,2,2,top1_cp
0.9042735042735043,0.9066402254050085,0.7142857142857143,18.88888888888889,18.0,33.0,0.9418803418803419,0.8622071581325533,0.0,2,2,mccp10
0.8923076923076924,0.9014249177848388,0.6742727272727272,20.68888888888889,18.0,38.0,0.935042735042735,0.8621749188158218,0.0,2,2,pacs_mondrian
0.8735042735042735,0.8862786152501299,0.6445378151260504,17.80854700854701,17.0,32.0,0.9333333333333333,0.8314916400104174,0.0,2,3,global
0.8290598290598291,0.8549697077926534,0.535265700483092,13.097435897435897,12.0,23.0,0.9162393162393162,0.7834228549754001,0.0,2,3,top1_cp
0.8803418803418803,0.890370450960273,0.6521739130434783,18.9008547008547,18.0,33.0,0.9367521367521368,0.8373260752225024,0.0,2,3,mccp10
0.8666666666666667,0.8878191472752324,0.6363636363636364,20.254700854700854,17.0,30.0,0.9316239316239316,0.8369465979395779,0.0,2,3,pacs_mondrian
0.9264957264957265,0.9188054911516457,0.75,16.435897435897434,15.0,29.0,0.9623931623931624,0.8581227651404005,0.0,3,0,global
0.8547008547008547,0.874783130400465,0.6087301587301588,10.885470085470086,10.0,19.0,0.9401709401709402,0.7840330497547573,0.0,3,0,top1_cp
0.9264957264957265,0.9188054911516457,0.75,16.41196581196581,15.0,29.0,0.9623931623931624,0.8581227651404005,0.0,3,0,mccp10
0.9299145299145299,0.9249184433046601,0.75,20.167521367521367,20.0,31.0,0.9658119658119658,0.8647240524321469,0.0,3,0,pacs_mondrian
0.9230769230769231,0.9130980361082873,0.721097770154374,15.894017094017094,15.0,28.0,0.9452991452991453,0.8689844210096307,0.0,3,1,global
