method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,minority,runs
global,0.9019943019943021,0.010865906740374815,26.743447293447293,3.321812137890662,47.95000000000001,0.9376726836303874,0.9013517686696907,24
mccp10,0.8395299145299145,0.019030502707128076,16.926424501424503,2.215659605036923,29.66666666666667,0.9014831006627947,0.8467359659255025,24
pacs_mondrian,0.9091168091168091,0.01457175139891103,30.316809116809114,3.387696785699241,48.70000000000001,0.9409501872407868,0.908267024255565,24
top1_cp,0.7285612535612537,0.05406537965471726,10.311111111111112,2.3063562202935164,17.658333333333335,0.8400292902516164,0.7572887420646716,24
