method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,minority,runs
global,0.900997150997151,0.027120814862139787,51.77820512820512,6.673145781709821,96.08333333333333,0.9688081923194188,0.9497587104725597,12
mccp10,0.705982905982906,0.029273858742515563,16.2982905982906,1.8269923468194749,28.850000000000005,0.8974589596148718,0.8412056537112077,12
pacs_mondrian_q0.65,0.9055555555555556,0.02089929886840585,53.55698005698005,4.846590828864565,85.18333333333334,0.970188053248697,0.952861961565502,12
pacs_mondrian_q0.75,0.9045584045584046,0.016793525664515068,53.843589743589746,5.077467602306502,83.85000000000001,0.9699266020738113,0.9530559177317112,12
pacs_mondrian_q0.85,0.903988603988604,0.019487906491889227,53.84444444444444,4.852900615030389,82.23333333333333,0.9699522956784942,0.9527514056776716,12
top1_cp,0.5807692307692308,0.04057722432215665,10.197150997150997,1.575214174101778,17.25,0.8425130808565552,0.7598162702811478,12
