case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method,q,gate_gate_threshold,gate_train_gate_rate,gate_cal_gate_rate,gate_use_high_pacs,gate_low_threshold,gate_global_threshold,gate_constant_gate
0.9025641025641026,0.9696610553231758,0.9019047619047619,53.572649572649574,48.0,102.0,0.9811965811965812,0.9510538853370305,0.0,0,0,global,0.9,,,,,,,
0.48547008547008547,0.7995841437957322,0.47182662538699693,7.167521367521368,7.0,12.0,0.864957264957265,0.6997801342364663,0.0,0,0,top1_cp,0.9,,,,,,,
0.7213675213675214,0.9079980177360192,0.7142857142857144,16.258119658119657,15.0,29.0,0.9367521367521368,0.8604182195004699,0.0,0,0,mccp10,0.9,,,,,,,
0.8991452991452992,0.9705038863831276,0.8957142857142857,58.547008547008545,65.0,90.0,0.9829059829059829,0.9483524427512094,0.0,0,0,pacs_gated,0.9,0.8883629342074844,0.8676092544987146,0.8476027397260274,True,0.0004140097815441423,0.0003457978637195836,
0.935042735042735,0.981827098699914,0.9375,55.84273504273504,48.0,108.0,0.9914529914529915,0.9643087443126066,0.0,0,1,global,0.9,,,,,,,
0.6136752136752137,0.8620263094363027,0.5651567944250872,9.664957264957264,9.0,16.0,0.9213675213675213,0.7881087865965375,0.0,0,1,top1_cp,0.9,,,,,,,
0.7623931623931623,0.9250435796032863,0.7777777777777777,18.406837606837605,17.0,33.0,0.9555555555555556,0.885917503852608,0.0,0,1,mccp10,0.9,,,,,,,
0.9264957264957265,0.9791817475773761,0.9333333333333333,61.608547008547006,54.0,87.0,0.9880341880341881,0.9656941617929518,0.0,0,1,pacs_gated,0.9,0.7611950640004632,0.8534704370179949,0.8527397260273972,True,9.339022139691053e-05,0.00035330752863012754,
0.8752136752136752,0.9625134559173867,0.8779411764705882,46.42905982905983,43.0,84.0,0.9811965811965812,0.9406808304166375,0.0,0,2,global,0.9,,,,,,,
0.5692307692307692,0.8255842867773906,0.44756756756756755,10.810256410256411,10.0,18.600000000000023,0.882051282051282,0.7576980687058443,0.0,0,2,top1_cp,0.9,,,,,,,
0.7333333333333333,0.9017210838355313,0.6666666666666666,19.466666666666665,18.0,35.0,0.9401709401709402,0.8557789947007928,0.0,0,2,mccp10,0.9,,,,,,,
0.9094017094017094,0.9692065897647621,0.9166572557876906,56.664957264957266,56.0,78.0,0.9829059829059829,0.9545804465659244,0.0,0,2,pacs_gated,0.9,0.8276781506033626,0.8727506426735219,0.8938356164383562,True,3.4240357006793415e-05,0.00034811112254721555,
0.9179487179487179,0.9744411981474735,0.9318181818181818,63.78632478632478,57.0,120.60000000000002,0.9829059829059829,0.9617932392170162,0.0,0,3,global,0.9,,,,,,,
0.6324786324786325,0.851214856668029,0.5,12.152136752136752,11.0,21.0,0.8940170940170941,0.7888781928364468,0.0,0,3,top1_cp,0.9,,,,,,,
0.7162393162393162,0.8936000981065748,0.6666666666666666,17.46324786324786,16.0,30.600000000000023,0.9247863247863248,0.8475313550618515,0.0,0,3,mccp10,0.9,,,,,,,
0.8854700854700854,0.964821683393447,0.8841287458379579,56.22051282051282,53.0,78.0,0.9743589743589743,0.9539313023411893,0.0,0,3,pacs_gated,0.9,0.7526839763214263,0.8881748071979434,0.8681506849315068,True,0.00013590056383675937,0.00020910615148721099,
0.8991452991452992,0.9720135665470475,0.8968421052631578,48.50769230769231,44.0,90.60000000000002,0.9863247863247864,0.9549021983673387,0.0,1,0,global,0.9,,,,,,,
0.49572649572649574,0.8170582337568588,0.5,7.875213675213676,8.0,13.0,0.8940170940170941,0.7186327833873215,0.0,1,0,top1_cp,0.9,,,,,,,
0.6974358974358974,0.9059461234361289,0.7120300751879699,15.572649572649572,15.0,27.0,0.9452991452991453,0.8534936064878086,0.0,1,0,mccp10,0.9,,,,,,,
0.9008547008547009,0.9717665558159508,0.8999999999999999,50.287179487179486,55.0,81.0,0.9863247863247864,0.9554246053793882,0.0,1,0,pacs_gated,0.9,0.8359959323433946,0.8766066838046273,0.839041095890411,True,0.00026580321656499624,0.0004395693035928669,
0.9042735042735043,0.9717717314523365,0.9,50.4974358974359,43.0,98.60000000000002,0.9897435897435898,0.9518296896190925,0.0,1,1,global,0.9,,,,,,,
0.5692307692307692,0.8381384065226377,0.5,9.234188034188033,9.0,16.0,0.8991452991452992,0.7583951876734203,0.0,1,1,top1_cp,0.9,,,,,,,
0.7299145299145299,0.9142699512505225,0.7142857142857142,17.147008547008546,15.0,31.0,0.9555555555555556,0.8643710730213707,0.0,1,1,mccp10,0.9,,,,,,,
0.8991452991452992,0.9701686317094215,0.8968421052631578,56.17777777777778,55.0,88.0,0.9880341880341881,0.950814458835371,0.0,1,1,pacs_gated,0.9,0.8300390105967284,0.8547557840616966,0.8287671232876712,True,0.00044320076069205767,0.00041319891155142726,
0.9333333333333333,0.9791097480514831,0.9473684210526315,67.63418803418803,62.0,125.60000000000002,0.9931623931623932,0.9631023183525163,0.0,1,2,global,0.9,,,,,,,
0.6905982905982906,0.8879168302369367,0.6666666666666666,15.292307692307693,14.0,26.0,0.9384615384615385,0.8262496346118825,0.0,1,2,top1_cp,0.9,,,,,,,
0.7726495726495727,0.918440822854824,0.7272727272727272,21.61709401709402,19.0,38.60000000000002,0.9572649572649573,0.8717249080400589,0.0,1,2,mccp10,0.9,,,,,,,
0.9230769230769231,0.9719731742791616,0.9262599469496021,64.46495726495726,59.0,103.60000000000002,0.9880341880341881,0.9559229480936484,0.0,1,2,pacs_gated,0.9,0.789700833911654,0.8586118251928021,0.863013698630137,True,0.0005637134937073312,0.0001407099534630021,
