case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,q_mass,model,method
0.9042735042735043,0.9015983322671304,0.7058823529411765,15.211965811965811,14.0,26.600000000000023,0.9452991452991453,0.844592403368463,0.0,0.7,0,global
0.9008547008547009,0.898250554386481,0.7,19.765811965811967,15.0,32.0,0.9452991452991453,0.8180056238303233,0.0,0.7,0,pacs_qthr
0.9196581196581196,0.911101270914382,0.748421052631579,20.347008547008546,17.0,32.0,0.9572649572649573,0.8434323669950798,0.0,0.7,0,pacs_topk
0.9076923076923077,0.9054071919428569,0.7064562410329985,14.22051282051282,13.0,25.0,0.9435897435897436,0.8550645129383837,0.0,0.7,1,global
0.9145299145299145,0.9077032430209152,0.7153638814016173,18.924786324786325,18.0,37.0,0.9504273504273504,0.8301265884917641,0.0,0.7,1,pacs_qthr
0.9145299145299145,0.9188018648872374,0.7153638814016173,18.266666666666666,19.0,32.0,0.9521367521367521,0.8707275022441413,0.0,0.7,1,pacs_topk
0.9025641025641026,0.9069439839813099,0.7,19.398290598290597,18.0,36.0,0.9452991452991453,0.8540371622403201,0.0,0.7,2,global
0.9025641025641026,0.9083563654151702,0.7010810810810811,25.177777777777777,18.0,55.0,0.9487179487179487,0.847125839766209,0.0,0.7,2,pacs_qthr
0.9162393162393162,0.9146609909221781,0.7153638814016173,22.258119658119657,19.0,42.0,0.9487179487179487,0.8675689458758183,0.0,0.7,2,pacs_topk
0.8974358974358975,0.9043423648897049,0.6923076923076923,17.91111111111111,17.0,32.0,0.9435897435897436,0.8465459743255084,0.0,0.7,3,global
0.9162393162393162,0.9169007441827955,0.7387290969899666,23.700854700854702,19.0,48.0,0.9521367521367521,0.8549825708066557,0.0,0.7,3,pacs_qthr
0.9213675213675213,0.9188195952911836,0.7387290969899666,20.988034188034188,18.0,35.0,0.9555555555555556,0.8642554281876291,0.0,0.7,3,pacs_topk
