method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,support,runs
global_panel,0.9095948141264557,0.048595564113185316,12.699647435301605,0.7185342313746851,15.8,0.9629832702944648,4.894644445286097,5
mccp10,0.7579792192455523,0.056944814788187345,9.913662439868684,0.5843737063107073,14.2,0.9018663500512446,4.894644445286097,5
pacs_cv,0.9433776402786757,0.026605072119605236,13.657405021685225,0.3996507197814619,15.6,0.9786466284880507,4.894644445286097,5
top1_cp,0.6516214810771515,0.08378704856642122,8.601209183508733,0.8057056686174017,12.9,0.861412995437609,4.894644445286097,5
