case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,model,method,selected_q
0.9230769230769231,0.9794936693284974,0.9230769230769231,59.78290598290598,54.0,115.20000000000005,0.9914529914529915,0.9615993994486887,0.0,0,global,
0.9230769230769231,0.9782198592319374,0.9230769230769231,59.38290598290598,58.0,66.0,0.9880341880341881,0.964382358073519,0.0,0,pacs_cv,0.5
0.8717948717948718,0.9597884791577902,0.875,40.2991452991453,36.0,77.0,0.9829059829059829,0.9327191594692393,0.0,1,global,
0.882051282051282,0.963908828552586,0.8802139037433155,45.04786324786325,43.0,61.0,0.9846153846153847,0.9398918316479836,0.0,1,pacs_cv,0.65
0.9316239316239316,0.9777806158987116,0.9516129032258065,68.46153846153847,64.0,128.0,0.9880341880341881,0.9668836436839287,0.0,2,global,
0.9213675213675213,0.9736355000270193,0.9300242130750606,60.57094017094017,58.0,83.60000000000002,0.9863247863247864,0.9627126380000058,0.0,2,pacs_cv,0.85
0.9094017094017094,0.9719468933152854,0.9220779220779222,55.9025641025641,51.0,101.0,0.9811965811965812,0.9559963875954645,0.0,3,global,
0.9162393162393162,0.9761187965797089,0.9358695652173914,57.0991452991453,56.0,69.0,0.9829059829059829,0.964522645892651,0.0,3,pacs_cv,0.65
