case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method
0.9179487179487179,0.9786683092035172,0.9295566502463055,54.59487179487179,47.0,101.60000000000002,0.9880341880341881,0.958555800013341,0.0,0,0,global_panel
0.9264957264957265,0.9781028303844324,0.9358695652173914,54.36923076923077,54.0,78.0,0.9846153846153847,0.9596705651292373,0.0,0,0,pacs_global_residual
0.9282051282051282,0.9800695008339771,0.9473684210526315,61.924786324786325,69.0,88.60000000000002,0.9880341880341881,0.9634375617482128,0.0,0,0,pacs_stratified
0.8888888888888888,0.9675680024227343,0.8876310272536687,45.84102564102564,40.0,87.0,0.9811965811965812,0.9471384784759426,0.0,0,1,global_panel
0.8888888888888888,0.9678786447627313,0.8876310272536687,49.04102564102564,44.0,81.60000000000002,0.9829059829059829,0.9461501559308362,0.0,0,1,pacs_global_residual
0.8871794871794871,0.9665095932799806,0.8854862119013063,48.36239316239316,42.0,82.60000000000002,0.9811965811965812,0.9447924246150575,0.0,0,1,pacs_stratified
0.8358974358974359,0.9539728880575156,0.8557603686635944,40.46666666666667,38.0,73.0,0.9777777777777777,0.9159391885871883,0.0,0,2,global_panel
0.8598290598290599,0.9595901211372859,0.8742105263157895,47.05811965811966,46.0,76.0,0.9794871794871794,0.9264871371527095,0.0,0,2,pacs_global_residual
0.8598290598290599,0.9602123966337809,0.875,48.965811965811966,52.0,77.0,0.9811965811965812,0.9251854322314862,0.0,0,2,pacs_stratified
0.8888888888888888,0.9652608199600029,0.8888888888888888,51.126495726495726,47.0,97.0,0.9811965811965812,0.9409521104660552,0.0,0,3,global_panel
0.8991452991452992,0.9720889928194928,0.8961702127659574,55.04957264957265,59.0,75.0,0.9829059829059829,0.9569514600888867,0.0,0,3,pacs_global_residual
0.9025641025641026,0.9715172457260066,0.9036363636363637,59.121367521367524,62.0,88.60000000000002,0.9811965811965812,0.9576174607548872,0.0,0,3,pacs_stratified
0.905982905982906,0.9664480377364432,0.9135403726708075,51.07179487179487,46.0,95.0,0.9794871794871794,0.951531147480999,0.0,1,0,global_panel
0.9128205128205128,0.9681535251488115,0.9161389961389962,49.7982905982906,49.0,72.0,0.9794871794871794,0.9538964494977884,0.0,1,0,pacs_global_residual
0.9162393162393162,0.9680324265255775,0.9285714285714286,56.95213675213675,54.0,94.0,0.9777777777777777,0.9589959610293445,0.0,1,0,pacs_stratified
0.9179487179487179,0.9761382277372256,0.9142857142857143,48.89230769230769,42.0,95.0,0.9897435897435898,0.9569305908075763,0.0,1,1,global_panel
0.9111111111111111,0.9761434388061303,0.9142857142857143,52.00854700854701,53.0,82.0,0.9880341880341881,0.9591147650519042,0.0,1,1,pacs_global_residual
0.9179487179487179,0.9787034170192818,0.9333333333333333,58.988034188034185,72.0,86.0,0.9914529914529915,0.959824541805819,0.0,1,1,pacs_stratified
0.9213675213675213,0.9724528307859682,0.9375,59.623931623931625,57.0,106.0,0.9863247863247864,0.9602589556498062,0.0,1,2,global_panel
0.9145299145299145,0.9696856529039517,0.9252747252747254,56.27008547008547,52.0,78.60000000000002,0.9846153846153847,0.95797556138839,0.0,1,2,pacs_global_residual
0.9162393162393162,0.9708775228741022,0.9333333333333333,57.56581196581197,52.0,79.60000000000002,0.9863247863247864,0.9595254189382473,0.0,1,2,pacs_stratified
0.9247863247863248,0.9760735330083926,0.9362376237623763,60.13333333333333,55.0,109.0,0.9880341880341881,0.959147132983719,0.0,1,3,global_panel
0.9111111111111111,0.9726451159691172,0.9201825201825203,52.121367521367524,55.0,71.60000000000002,0.9880341880341881,0.94875380199959,0.0,1,3,pacs_global_residual
0.9128205128205128,0.9733776939342179,0.9224775224775226,51.235897435897435,46.0,75.0,0.9880341880341881,0.9540283822798912,0.0,1,3,pacs_stratified
0.9230769230769231,0.9740282862599109,0.9273109243697479,55.271794871794874,49.0,103.20000000000005,0.9880341880341881,0.9548533485635021,0.0,2,0,global_panel
0.9094017094017094,0.9695747075654877,0.9090909090909091,48.4974358974359,51.0,77.60000000000002,0.9829059829059829,0.9512237147043947,0.0,2,0,pacs_global_residual
0.9196581196581196,0.9725520940242245,0.9132013201320132,56.71111111111111,46.0,107.60000000000002,0.9846153846153847,0.953288005857953,0.0,2,0,pacs_stratified
0.8940170940170941,0.9664975252623136,0.8911719605695511,46.11282051282051,40.0,87.60000000000002,0.9794871794871794,0.952961345955706,0.0,2,1,global_panel
0.8974358974358975,0.9691834841511594,0.8963926670609108,49.65299145299145,51.0,80.0,0.9829059829059829,0.9549427476426231,0.0,2,1,pacs_global_residual
0.8905982905982905,0.9665138286405105,0.8888888888888888,48.36239316239316,53.0,73.0,0.9794871794871794,0.9540610315962332,0.0,2,1,pacs_stratified
0.8700854700854701,0.9520128963498595,0.8636363636363636,46.25982905982906,43.0,82.60000000000002,0.9658119658119658,0.9387851146186321,0.0,2,2,global_panel
0.8786324786324786,0.9569493165596801,0.875,50.87521367521367,57.0,65.0,0.9692307692307692,0.9416063934725906,0.0,2,2,pacs_global_residual
0.8786324786324786,0.956583606367765,0.875,52.28376068376068,44.0,75.0,0.9658119658119658,0.9431881633744312,0.0,2,2,pacs_stratified
0.9230769230769231,0.9765769510491422,0.9321246169560777,61.94358974358974,57.0,116.0,0.9880341880341881,0.9600513120682492,0.0,2,3,global_panel
0.9042735042735043,0.9687515696056777,0.9090909090909091,52.44957264957265,55.0,74.0,0.9794871794871794,0.9540149344865839,0.0,2,3,pacs_global_residual
0.9094017094017094,0.9698438199060729,0.9090909090909092,55.23247863247863,63.0,74.0,0.9794871794871794,0.9538980611513197,0.0,2,3,pacs_stratified
0.8700854700854701,0.9633233775238657,0.875,43.13504273504274,38.0,82.60000000000002,0.9811965811965812,0.9415085183119187,0.0,3,0,global_panel
0.8786324786324786,0.9625371073654244,0.8809411764705883,46.504273504273506,44.0,72.0,0.9777777777777777,0.9476381822312437,0.0,3,0,pacs_global_residual
0.8769230769230769,0.9617535477303968,0.875,47.054700854700855,39.0,80.0,0.9777777777777777,0.94606518025903,0.0,3,0,pacs_stratified
0.8991452991452992,0.9676855382839975,0.8957142857142858,49.52820512820513,43.0,91.0,0.9880341880341881,0.9434947374986911,0.0,3,1,global_panel
0.8803418803418803,0.9610008757804032,0.875,48.73162393162393,45.0,71.0,0.9794871794871794,0.9366349795468316,0.0,3,1,pacs_global_residual
0.882051282051282,0.9634140879522882,0.8823529411764706,50.10769230769231,41.0,79.0,0.9811965811965812,0.9383720136303572,0.0,3,1,pacs_stratified
0.8786324786324786,0.956473883152042,0.875,48.79145299145299,44.0,86.0,0.9709401709401709,0.9399804924702813,0.0,3,2,global_panel
