method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,support,runs
global_panel,0.9110402590043682,0.05416006129784808,11.348499244706591,0.9158548253336287,15.2,0.9349124511156118,4.894644445286097,5
mccp10,0.8658958590919961,0.046185900502140824,9.913662439868684,0.5843737063107073,14.2,0.9018663500512446,4.894644445286097,5
pacs_cv,0.9335857277612754,0.029806716616645544,12.321616926403285,0.3431438929964476,14.0,0.9562324690143887,4.894644445286097,5
top1_cp,0.7949280178636758,0.07366532603344816,8.601209183508733,0.8057056686174017,12.9,0.861412995437609,4.894644445286097,5
