success,mean_size,full_set_rate,oracle_mean_size,excess_size,clear_full_rate,clear_success,ambiguous_full_rate,ambiguous_success,n_clear,n_ambiguous,mean_mass,endpoint,rep,method,ntrain,ncal,ntest,selected_q
0.6893617021276596,1.4595744680851064,0.4595744680851064,1.6382978723404256,-0.17872340425531916,0.3176470588235294,0.9529411764705882,0.54,0.54,85,150,0.8680851063829788,Atelectasis,0,top1_cp,311,257,235,
0.6936170212765957,1.4680851063829787,0.46808510638297873,1.6382978723404256,-0.1702127659574468,0.32941176470588235,0.9529411764705882,0.5466666666666666,0.5466666666666666,85,150,0.8706382978723404,Atelectasis,0,mccp10,311,257,235,
0.8723404255319149,1.7446808510638299,0.7446808510638298,1.6382978723404256,0.10638297872340426,0.6235294117647059,0.9764705882352941,0.8133333333333334,0.8133333333333334,85,150,0.9438297872340426,Atelectasis,0,global_panel,311,257,235,
1.0,2.0,1.0,1.6382978723404256,0.3617021276595745,1.0,1.0,1.0,1.0,85,150,1.0,Atelectasis,0,pacs_cv,311,257,235,0.5
0.6626984126984127,1.3412698412698412,0.3412698412698413,1.6111111111111112,-0.2698412698412698,0.15306122448979592,0.9795918367346939,0.461038961038961,0.461038961038961,98,154,0.8658730158730158,Consolidation,0,top1_cp,296,255,252,
0.7182539682539683,1.4246031746031746,0.4246031746031746,1.6111111111111112,-0.1865079365079365,0.22448979591836735,0.9795918367346939,0.551948051948052,0.551948051948052,98,154,0.8888888888888888,Consolidation,0,mccp10,296,255,252,
0.8214285714285714,1.5873015873015872,0.5873015873015873,1.6111111111111112,-0.023809523809523808,0.3979591836734694,1.0,0.7077922077922078,0.7077922077922078,98,154,0.9317460317460318,Consolidation,0,global_panel,296,255,252,
1.0,2.0,1.0,1.6111111111111112,0.3888888888888889,1.0,1.0,1.0,1.0,98,154,1.0,Consolidation,0,pacs_cv,296,255,252,0.5
0.656,0.968,0.0,1.336,-0.368,0.0,0.9879518072289156,0.0,0.0,166,84,0.8664000000000001,Pleural Thickening,0,top1_cp,317,236,250,
0.716,1.076,0.076,1.336,-0.26,0.030120481927710843,0.9939759036144579,0.16666666666666666,0.16666666666666666,166,84,0.9087999999999999,Pleural Thickening,0,mccp10,317,236,250,
0.88,1.4,0.4,1.336,0.064,0.27710843373493976,1.0,0.6428571428571429,0.6428571428571429,166,84,0.9632,Pleural Thickening,0,global_panel,317,236,250,
1.0,2.0,1.0,1.336,0.664,1.0,1.0,1.0,1.0,166,84,1.0,Pleural Thickening,0,pacs_cv,317,236,250,0.5
0.7215686274509804,1.2588235294117647,0.25882352941176473,1.3137254901960784,-0.054901960784313725,0.2342857142857143,0.9085714285714286,0.3125,0.3125,175,80,0.8596078431372549,Nodule,0,top1_cp,316,232,255,
0.7411764705882353,1.3372549019607842,0.33725490196078434,1.3137254901960784,0.023529411764705882,0.3314285714285714,0.92,0.35,0.35,175,80,0.8705882352941177,Nodule,0,mccp10,316,232,255,
0.8705882352941177,1.6549019607843136,0.6549019607843137,1.3137254901960784,0.3411764705882353,0.6571428571428571,0.9714285714285714,0.65,0.65,175,80,0.9443137254901961,Nodule,0,global_panel,316,232,255,
1.0,2.0,1.0,1.3137254901960784,0.6862745098039216,1.0,1.0,1.0,1.0,175,80,1.0,Nodule,0,pacs_cv,316,232,255,0.5
0.859375,1.46484375,0.46484375,1.28515625,0.1796875,0.40437158469945356,0.9562841530054644,0.6164383561643836,0.6164383561643836,183,73,0.91171875,Effusion,0,top1_cp,288,259,256,
0.859375,1.46875,0.46875,1.28515625,0.18359375,0.4098360655737705,0.9562841530054644,0.6164383561643836,0.6164383561643836,183,73,0.91171875,Effusion,0,mccp10,288,259,256,
0.921875,1.62890625,0.62890625,1.28515625,0.34375,0.5573770491803278,0.9672131147540983,0.8082191780821918,0.8082191780821918,183,73,0.94765625,Effusion,0,global_panel,288,259,256,
1.0,2.0,1.0,1.28515625,0.71484375,1.0,1.0,1.0,1.0,183,73,1.0,Effusion,0,pacs_cv,288,259,256,0.5
0.6423076923076924,0.9346153846153846,0.0,1.2615384615384615,-0.3269230769230769,0.0,0.8697916666666666,0.0,0.0,192,68,0.7938461538461538,Cardiomegaly,0,top1_cp,307,236,260,
0.7076923076923077,1.0653846153846154,0.06538461538461539,1.2615384615384615,-0.19615384615384615,0.057291666666666664,0.9270833333333334,0.08823529411764706,0.08823529411764706,192,68,0.8592307692307691,Cardiomegaly,0,mccp10,307,236,260,
0.9346153846153846,1.7230769230769232,0.7230769230769231,1.2615384615384615,0.46153846153846156,0.7083333333333334,0.9947916666666666,0.7647058823529411,0.7647058823529411,192,68,0.9784615384615384,Cardiomegaly,0,global_panel,307,236,260,
1.0,2.0,1.0,1.2615384615384615,0.7384615384615385,1.0,1.0,1.0,1.0,192,68,1.0,Cardiomegaly,0,pacs_cv,307,236,260,0.5
