method,success,success_sd,mean_size,mean_size_sd,p90_size,mean_mass,runs
global_panel,0.9080137560550596,0.02720655186895391,13.915767923539807,0.3930694512254419,16.0,0.9461988955136547,30
mccp10,0.8369785834833863,0.031067845159107176,12.189314188458614,0.46104837875323323,14.876666666666667,0.9032209808239211,30
pacs_mondrian_q0.65,0.9447817536532307,0.02554723568929373,13.893547691574183,0.402621041488341,14.9,0.9601388542751609,30
pacs_mondrian_q0.75,0.9460178608586294,0.021408185319237074,13.890855365427672,0.3859154530201139,14.933333333333334,0.9611307647577588,30
pacs_mondrian_q0.85,0.9503477441420913,0.020292407327726525,13.9465045232611,0.3958607900297517,15.166666666666666,0.9635675248166827,30
top1_cp,0.7762477298005936,0.05188851165990397,10.479964764060675,1.0392817436913064,12.856666666666666,0.8690372415866908,30
