case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method
0.8717948717948718,0.8808134810406659,0.6393889798145119,13.904273504273505,13.0,24.0,0.9299145299145299,0.8123404243012007,0.0,0,0,global_panel
0.8854700854700854,0.890686570954947,0.6666666666666666,15.752136752136753,17.0,22.0,0.9367521367521368,0.824381062266404,0.0,0,0,pacs_global_residual
0.8683760683760684,0.8854080256999876,0.6470588235294117,13.270085470085471,13.0,23.0,0.935042735042735,0.8246372159788035,0.0,0,1,global_panel
0.8752136752136752,0.8897242829279853,0.6573863636363637,15.432478632478633,14.0,31.0,0.9367521367521368,0.8263157254012944,0.0,0,1,pacs_global_residual
0.882051282051282,0.8891254600736487,0.648235294117647,16.418803418803417,15.0,28.600000000000023,0.935042735042735,0.8304516742564128,0.0,0,2,global_panel
0.8871794871794871,0.8932291698171586,0.6604166666666668,19.625641025641027,19.0,32.0,0.9333333333333333,0.8344057172022001,0.0,0,2,pacs_global_residual
0.8940170940170941,0.9001592926680824,0.6692307692307693,18.572649572649574,17.0,34.0,0.9435897435897436,0.846883150498279,0.0,0,3,global_panel
0.9094017094017094,0.9114580643472998,0.7142857142857144,21.386324786324785,21.0,32.60000000000002,0.9521367521367521,0.8721260259108788,0.0,0,3,pacs_global_residual
0.8547008547008547,0.8729254035702663,0.5816858702243785,14.478632478632479,13.0,25.0,0.9145299145299145,0.8235935202829624,0.0,1,0,global_panel
0.8666666666666667,0.8822359056660752,0.625,16.36068376068376,16.0,24.0,0.9247863247863248,0.8256912465428218,0.0,1,0,pacs_global_residual
0.8957264957264958,0.8980391873450758,0.6666666666666666,14.437606837606838,14.0,25.0,0.9401709401709402,0.8381541226007951,0.0,1,1,global_panel
0.9008547008547009,0.9055686436445689,0.7,18.85811965811966,16.0,34.0,0.9384615384615385,0.8546751240437457,0.0,1,1,pacs_global_residual
0.8974358974358975,0.8986497142621132,0.6866419294990724,18.813675213675214,18.0,33.0,0.9230769230769231,0.8590462161401391,0.0,1,2,global_panel
0.9111111111111111,0.9015220271422466,0.7091360066143035,19.398290598290597,19.0,32.0,0.9282051282051282,0.8607131241120081,0.0,1,2,pacs_global_residual
0.9247863247863248,0.9195449800738068,0.7701098901098902,21.96068376068376,20.0,37.0,0.9555555555555556,0.8676990829283818,0.0,1,3,global_panel
0.9418803418803419,0.9332153708621407,0.8,24.314529914529913,25.0,35.0,0.9641025641025641,0.8905347288703105,0.0,1,3,pacs_global_residual
0.864957264957265,0.8805883908869998,0.635135135135135,12.858119658119659,12.0,22.0,0.9230769230769231,0.8108272371072035,0.0,2,0,global_panel
0.8991452991452992,0.8986165119846421,0.6953846153846155,17.48205128205128,17.0,25.0,0.9418803418803419,0.8237332227241337,0.0,2,0,pacs_global_residual
0.8940170940170941,0.8920875252074065,0.6782227784730915,13.572649572649572,13.0,23.0,0.9418803418803419,0.8321461735606492,0.0,2,1,global_panel
