method,success,success_sd,mean_size,mean_size_sd,p90_size,p95_size,mean_mass,minority,runs
global_panel,0.8984333333333334,0.009884183123728104,1.0874333333333335,0.021090753496282054,1.25,2.0,0.8889329901199974,0.008805210239341589,20
mccp10,0.9093166666666667,0.008567908982212971,1.12935,0.024482593171905893,1.95,2.0,0.8991322446146912,0.009736646028852863,20
pacs_gated,0.9510333333333334,0.01082551674819716,1.7646666666666668,0.08349037833699044,3.3049999999999953,4.1,0.9374430013177193,0.02027076472904287,20
top1_cp,0.8786833333333334,0.010611411158918787,1.0294666666666665,0.01870591112753162,1.0,1.15,0.8701768131995362,0.007294339496465617,20
