rep,dataset,q,global_success,pacs_success,global_mean_size,pacs_mean_size,global_p90_size,pacs_p90_size
16,NIH,0.8,0.9344978165938864,0.9213973799126638,14.034934497816591,13.611353711790391,16.0,15.0
17,NIH,0.8,0.9151785714285714,0.9598214285714286,13.71875,13.785714285714286,16.0,15.0
18,NIH,0.8,0.9159663865546218,0.9495798319327732,14.147058823529411,14.415966386554622,16.0,16.0
19,NIH,0.8,0.8870967741935484,0.9193548387096774,13.564516129032258,13.661290322580646,16.0,15.0
20,NIH,0.8,0.9,0.9478260869565216,13.517391304347829,13.930434782608696,16.0,16.0
21,NIH,0.8,0.9310344827586208,0.9698275862068966,14.02155172413793,14.16810344827586,16.0,15.0
22,NIH,0.8,0.907563025210084,0.8823529411764706,13.533613445378151,12.584033613445378,16.0,14.0
23,NIH,0.8,0.8818565400843882,0.9451476793248944,13.40084388185654,13.860759493670884,16.0,15.0
24,NIH,0.8,0.9367588932806324,0.9604743083003952,13.885375494071146,14.16205533596838,16.0,15.0
25,NIH,0.8,0.8565573770491803,0.8811475409836066,12.67622950819672,12.368852459016392,16.0,14.0
26,NIH,0.8,0.9191489361702128,0.9574468085106383,14.297872340425531,14.2,16.0,16.0
27,NIH,0.8,0.9209486166007904,0.9446640316205532,14.478260869565217,14.312252964426875,16.0,15.0
28,NIH,0.8,0.8977777777777778,0.9111111111111112,13.27111111111111,13.115555555555556,16.0,14.0
29,NIH,0.8,0.9116465863453816,0.963855421686747,13.803212851405622,14.393574297188756,16.0,16.0
0,NIH,0.9,0.9288702928870292,0.9707112970711296,14.728033472803348,14.97071129707113,16.0,16.0
1,NIH,0.9,0.9017857142857144,0.9598214285714286,14.638392857142858,15.075892857142858,16.0,16.0
2,NIH,0.9,0.8870292887029289,0.9497907949790796,14.267782426778243,14.732217573221757,16.0,16.0
3,NIH,0.9,0.9045643153526972,0.9626556016597512,14.630705394190873,15.12863070539419,16.0,16.0
4,NIH,0.9,0.9083665338645418,0.9641434262948207,14.48605577689243,15.278884462151394,16.0,16.0
5,NIH,0.9,0.9414414414414416,0.9864864864864864,14.545045045045043,15.207207207207206,16.0,16.0
6,NIH,0.9,0.9025270758122744,0.9530685920577616,14.617328519855596,15.0,16.0,16.0
7,NIH,0.9,0.8941176470588236,0.9215686274509804,14.47843137254902,14.513725490196078,16.0,16.0
8,NIH,0.9,0.908713692946058,0.983402489626556,14.369294605809127,15.161825726141078,16.0,16.0
9,NIH,0.9,0.9466666666666668,0.9555555555555556,14.724444444444444,15.075555555555557,16.0,16.0
10,NIH,0.9,0.8928571428571429,0.9761904761904762,14.928571428571429,14.865079365079366,16.0,16.0
11,NIH,0.9,0.9274809160305344,0.9732824427480916,14.580152671755725,15.026717557251908,16.0,16.0
12,NIH,0.9,0.9047619047619048,0.98015873015873,14.404761904761903,15.11904761904762,16.0,16.0
13,NIH,0.9,0.9271255060728744,0.9271255060728744,14.96761133603239,14.757085020242917,16.0,16.0
14,NIH,0.9,0.9159663865546218,0.953781512605042,14.525210084033612,14.609243697478991,16.0,16.0
15,NIH,0.9,0.9094650205761317,0.97119341563786,14.74485596707819,15.213991769547324,16.0,16.0
16,NIH,0.9,0.9344978165938864,0.960698689956332,15.09170305676856,14.921397379912664,16.0,16.0
17,NIH,0.9,0.8973214285714286,0.9642857142857144,14.1875,14.660714285714286,16.0,16.0
18,NIH,0.9,0.9159663865546218,0.9705882352941176,14.806722689075633,15.079831932773107,16.0,16.0
19,NIH,0.9,0.8830645161290323,0.9516129032258064,14.338709677419354,14.77016129032258,16.0,16.0
20,NIH,0.9,0.9130434782608696,0.9739130434782608,14.395652173913044,14.978260869565217,16.0,16.0
21,NIH,0.9,0.9310344827586208,0.956896551724138,14.72844827586207,14.913793103448276,16.0,16.0
22,NIH,0.9,0.9285714285714286,0.907563025210084,14.894957983193278,14.222689075630251,16.0,16.0
23,NIH,0.9,0.890295358649789,0.9662447257383966,14.084388185654008,14.919831223628693,16.0,16.0
24,NIH,0.9,0.9446640316205532,0.9446640316205532,14.711462450592885,14.707509881422926,16.0,16.0
25,NIH,0.9,0.9057377049180328,0.9467213114754098,14.5327868852459,14.364754098360656,16.0,15.0
26,NIH,0.9,0.8936170212765957,0.9702127659574468,14.697872340425532,15.31063829787234,16.0,16.0
27,NIH,0.9,0.9288537549407114,0.9683794466403162,15.209486166007904,15.213438735177863,16.0,16.0
28,NIH,0.9,0.88,0.9555555555555556,14.044444444444444,14.991111111111111,16.0,16.0
29,NIH,0.9,0.8875502008032129,0.9759036144578314,14.393574297188756,15.132530120481928,16.0,16.0
0,CIFAR-10H,0.7,0.8983333333333333,0.9693333333333334,1.0903333333333334,1.743,1.0,3.0
1,CIFAR-10H,0.7,0.8923333333333333,0.9683333333333334,1.0916666666666666,1.9286666666666668,1.0,3.0
2,CIFAR-10H,0.7,0.892,0.968,1.0993333333333333,1.7013333333333334,1.0,3.0
3,CIFAR-10H,0.7,0.892,0.965,1.0786666666666669,1.6763333333333332,1.0,3.0
4,CIFAR-10H,0.7,0.899,0.976,1.084,1.8073333333333328,1.0,3.0
5,CIFAR-10H,0.7,0.8946666666666667,0.979,1.071,1.985,1.0,3.0
6,CIFAR-10H,0.7,0.9106666666666666,0.9763333333333334,1.1043333333333334,1.9686666666666663,2.0,3.0
7,CIFAR-10H,0.7,0.9113333333333332,0.9696666666666668,1.1013333333333333,1.648,2.0,3.0
