dataset,q,rep,global_success,pacs_success,delta_success,global_mean_size,pacs_mean_size,delta_mean_size,global_p90_size,pacs_p90_size,delta_p90_size
Dermatology,0.9,11,0.897008547008547,0.9042735042735042,0.007264957264957128,51.26581196581197,51.25555555555556,-0.01025641025641022,93.45000000000002,77.15,-16.30000000000001
Dermatology,0.8,0,0.9021367521367522,0.9136752136752135,0.011538461538461386,25.48846153846154,29.851709401709403,4.363247863247864,45.55000000000001,47.900000000000006,2.3499999999999943
Dermatology,0.8,1,0.8987179487179486,0.8974358974358974,-0.0012820512820512775,27.704700854700857,29.320085470085473,1.6153846153846168,49.650000000000006,43.0,-6.650000000000006
Dermatology,0.8,2,0.9085470085470084,0.9141025641025641,0.005555555555555647,27.394871794871793,30.935470085470087,3.540598290598293,48.80000000000001,51.400000000000006,2.5999999999999943
Dermatology,0.8,3,0.9004273504273503,0.9136752136752136,0.013247863247863312,26.246581196581197,30.664529914529915,4.417948717948718,47.5,49.30000000000001,1.8000000000000114
Dermatology,0.8,4,0.9012820512820513,0.9128205128205128,0.011538461538461497,27.213675213675213,31.21153846153846,3.997863247863247,49.150000000000006,51.5,2.3499999999999943
Dermatology,0.8,5,0.9008547008547009,0.902991452991453,0.002136752136752129,26.412393162393162,29.917521367521367,3.505128205128205,47.05000000000001,49.10000000000002,2.0500000000000114
Dermatology,0.7,0,0.879059829059829,0.8978632478632479,0.018803418803418848,15.541452991452992,20.055982905982905,4.514529914529913,27.400000000000006,35.25,7.849999999999994
Dermatology,0.7,1,0.8931623931623932,0.9085470085470084,0.015384615384615219,17.422649572649572,22.05854700854701,4.635897435897437,30.0,36.25,6.25
Dermatology,0.7,2,0.8807692307692307,0.8931623931623931,0.01239316239316235,15.55982905982906,18.887606837606835,3.3277777777777757,26.75,29.5,2.75
Dermatology,0.7,3,0.908974358974359,0.9213675213675214,0.01239316239316246,16.95982905982906,21.78162393162393,4.821794871794868,30.25,37.75,7.5
Dermatology,0.7,4,0.891025641025641,0.9085470085470085,0.01752136752136757,16.18376068376068,20.073504273504273,3.889743589743592,28.5,33.75,5.25
Dermatology,0.7,5,0.8957264957264958,0.9106837606837608,0.014957264957265015,16.905555555555555,21.089316239316236,4.183760683760681,29.75,32.400000000000006,2.6500000000000057
NIH,0.7,0,0.9414225941422594,0.9665271966527196,0.025104602510460206,12.00836820083682,12.635983263598328,0.6276150627615085,14.0,13.0,-1.0
NIH,0.7,1,0.9196428571428572,0.9196428571428572,0.0,13.044642857142858,12.691964285714286,-0.3526785714285712,16.0,13.700000000000015,-2.2999999999999847
NIH,0.7,2,0.9037656903765692,0.9121338912133892,0.008368200836819994,11.539748953974897,11.631799163179917,0.09205020920501994,14.0,12.0,-2.0
NIH,0.7,3,0.921161825726141,0.966804979253112,0.045643153526971014,13.49792531120332,13.394190871369297,-0.10373443983402275,16.0,14.0,-2.0
NIH,0.7,4,0.9123505976095616,0.9641434262948207,0.05179282868525914,12.9800796812749,13.326693227091631,0.34661354581673187,16.0,15.0,-1.0
NIH,0.7,5,0.90990990990991,0.927927927927928,0.018018018018017945,12.31081081081081,12.31081081081081,0.0,16.0,13.0,-3.0
NIH,0.7,6,0.8808664259927798,0.8989169675090253,0.018050541516245522,11.931407942238268,11.83393501805054,-0.0974729241877288,14.0,12.0,-2.0
NIH,0.7,7,0.9137254901960784,0.9176470588235294,0.0039215686274509665,12.909803921568628,12.27843137254902,-0.6313725490196074,16.0,13.0,-3.0
NIH,0.7,8,0.9294605809128632,0.933609958506224,0.004149377593360759,12.257261410788384,12.149377593360995,-0.10788381742738906,16.0,13.0,-3.0
NIH,0.7,9,0.9511111111111112,0.9288888888888888,-0.022222222222222476,12.995555555555557,11.751111111111111,-1.2444444444444454,16.0,12.0,-4.0
NIH,0.7,10,0.8650793650793651,0.8650793650793651,0.0,11.214285714285714,11.103174603174605,-0.11111111111110894,14.0,12.0,-2.0
